id, pgb, pbg, lrg, lrb
zero, 0.0, 1.0, 0.0, 1.0
default, 0.05, 0.45, 0.0, 1.0
one, 0.01, 0.19, 0.0, 1.0
one_precent, 0.005, 0.3, 0.0, 0.65
half_percent, 0.001, 0.2, 0.0, 1.0
point2_percent, 0.001, 0.45, 0.0001, 0.86
long_point1_percent, 0.00005, 0.04995, 0.0, 1.0
long_point1percent, 0.00098, 0.98, 0.0, 1.0
long_2percent, 0.0004, 0.0196, 0.0, 1.0
lomg_2percent, 0.02, 0.98, 0.0, 1.0
90_loss, 1.0, 0.11111, 0.0, 1.0
long_50percent, 0.98, 0.98, 0.0, 1.0
short_50percent, 0.50, 0.50, 0.0, 1.0
20_loss, 0.245, 0.98, 0.0, 1.0
short_1percent, 0.00606, 0.6, 0.0, 1.0
short_half_percent, 0.00303, 0.6, 0.0, 1.0
short_point_2percent, 0.00121, 0.6, 0.0, 1.0
short_point1_percent, 0.001001, 0.999, 0.0, 1.0
short_2percent, 0.0102, 0.50, 0.0, 1.0
ber_0, 0.0, 0.0, 0.0, 0.0
ber_1, 0.0, 0.0, 0.01, 0.01
ber_2, 0.0, 0.0, 0.02, 0.02
ber_20, 0.0, 1.0, 0.02, 0.02
ber_90, 0.0, 0.0, 0.9, 0.9
