id, pgb, pbg, lrg, lrb
no_of_bursts_low, 0.00104, 0.80236, 0, 0.87
no_of_bursts_medium, 0.00455, 0.15252, 0, 0.61
no_of_bursts_high, 0.02048, 0.16261, 0, 0.67
no_of_bursts_low_1, 0.00078, 0.78278, 0, 0.8
no_of_bursts_low_2, 0.00124, 0.36311, 0, 0.93
no_of_bursts_low_3, 0.00051, 0.37113, 0, 0.74
no_of_bursts_low_4, 0.00054, 0.80853, 0, 0.63
no_of_bursts_low_5, 0.00056, 0.60949, 0, 0.66
no_of_bursts_medium_1, 0.00316, 0.88614, 0, 0.96
no_of_bursts_medium_2, 0.00541, 0.46397, 0, 0.92
no_of_bursts_medium_3, 0.00206, 0.34591, 0, 0.86
no_of_bursts_medium_4, 0.00525, 0.80034, 0, 0.94
no_of_bursts_medium_5, 0.00155, 0.59200, 0, 0.64
no_of_bursts_high_1, 0.01374, 0.79738, 0, 0.6
no_of_bursts_high_2, 0.01179, 0.96625, 0, 0.55
no_of_bursts_high_3, 0.00624, 0.44861, 0, 0.68
no_of_bursts_high_4, 0.00830, 0.43466, 0, 0.58
no_of_bursts_high_5, 0.01480, 0.85570, 0, 0.60
mean_bursts_duration_low_1, 0.00053, 0.52430, 0, 0.5
mean_bursts_duration_low_2, 0.00104, 0.33686, 0, 0.61
mean_bursts_duration_low_3, 0.00071, 0.12455, 0, 0.87
mean_bursts_duration_low_4, 0.00161, 0.16902, 0, 0.99
mean_bursts_duration_low_5, 0.00293, 0.80732, 0, 0.67
mean_bursts_duration_medium_1, 0.00108, 0.10105, 0, 0.76
mean_bursts_duration_medium_2, 0.00062, 0.10056, 0, 0.75
mean_bursts_duration_medium_3, 0.00093, 0.10611, 0, 0.8
mean_bursts_duration_medium_4, 0.00108, 0.10812, 0, 0.85
mean_bursts_duration_medium_5, 0.00059, 0.10294, 0, 0.72
mean_bursts_duration_high_1, 0.00086, 0.10531, 0, 0.9
mean_bursts_duration_high_2, 0.00054, 0.10831, 0, 0.81
mean_bursts_duration_high_3, 0.00050, 0.10430, 0, 0.71
mean_bursts_duration_high_4, 0.00107, 0.10224, 0, 0.64
mean_bursts_duration_high_5, 0.00075, 0.11057, 0, 0.93
mean_gap_duration_low_1, 0.01874, 0.93703, 0, 0.56
mean_gap_duration_low_2, 0.01535, 0.78766, 0, 0.55
mean_gap_duration_low_3, 0.01374, 0.83265, 0, 0.60
mean_gap_duration_low_4, 0.01549, 0.99839, 0, 0.65
mean_gap_duration_low_5, 0.01345, 0.90211, 0, 0.56
mean_gap_duration_medium_1, 0.00704, 0.78818, 0, 0.84
mean_gap_duration_medium_2, 0.00508, 0.62497, 0, 0.60
mean_gap_duration_medium_3, 0.00939, 0.88015, 0, 0.91
mean_gap_duration_medium_4, 0.00680, 0.64238, 0, 0.53
mean_gap_duration_medium_5, 0.00775, 0.64955, 0, 0.89
mean_gap_duration_high_1, 0.00276, 0.23097, 0, 0.5
mean_gap_duration_high_2, 0.00379, 0.47679, 0, 0.90
mean_gap_duration_high_3, 0.00192, 0.12999, 0, 0.68
mean_gap_duration_high_4, 0.00270, 0.65714, 0, 0.51
mean_gap_duration_high_5, 0.00073, 0.57387, 0, 0.54
