Step 20 | Acc 0.4912 | Time 81.1s
Step 40 | Acc 0.5642 | Time 165.5s
Step 60 | Acc 0.6249 | Time 272.8s
Step 80 | Acc 0.6369 | Time 397.5s
Step 100 | Acc 0.6832 | Time 505.0s
Step 120 | Acc 0.6803 | Time 612.6s
Step 140 | Acc 0.6748 | Time 693.1s
Step 160 | Acc 0.7280 | Time 773.3s
Step 180 | Acc 0.7274 | Time 899.7s
Step 200 | Acc 0.6707 | Time 980.7s
Step 220 | Acc 0.7282 | Time 1061.1s
Step 240 | Acc 0.7425 | Time 1188.3s
Step 260 | Acc 0.7306 | Time 1295.3s
Step 280 | Acc 0.7433 | Time 1375.5s
Step 300 | Acc 0.7490 | Time 1487.2s
Step 320 | Acc 0.7494 | Time 1610.9s
Step 340 | Acc 0.7410 | Time 1718.1s
Step 360 | Acc 0.7123 | Time 1799.5s
Step 380 | Acc 0.7598 | Time 1880.2s
Step 400 | Acc 0.7451 | Time 2013.6s
Step 420 | Acc 0.7600 | Time 2093.9s
Step 440 | Acc 0.7469 | Time 2201.3s
Step 460 | Acc 0.7637 | Time 2281.6s
