Step 20 | Acc 0.4847 | Time 81.8s
Step 40 | Acc 0.5642 | Time 167.5s
Step 60 | Acc 0.6229 | Time 291.5s
Step 80 | Acc 0.6418 | Time 400.3s
Step 100 | Acc 0.6822 | Time 534.7s
Step 120 | Acc 0.6760 | Time 667.7s
Step 140 | Acc 0.6850 | Time 749.9s
Step 160 | Acc 0.7247 | Time 858.9s
Step 180 | Acc 0.7221 | Time 968.3s
Step 200 | Acc 0.6506 | Time 1050.6s
Step 220 | Acc 0.7319 | Time 1132.7s
Step 240 | Acc 0.7423 | Time 1265.8s
Step 260 | Acc 0.7327 | Time 1389.8s
Step 280 | Acc 0.7329 | Time 1471.7s
Step 300 | Acc 0.7474 | Time 1554.0s
Step 320 | Acc 0.7427 | Time 1662.2s
Step 340 | Acc 0.7467 | Time 1744.4s
Step 360 | Acc 0.7194 | Time 1826.9s
Step 380 | Acc 0.7518 | Time 1909.1s
Step 400 | Acc 0.7388 | Time 2039.7s
Step 420 | Acc 0.7412 | Time 2121.5s
Step 440 | Acc 0.7402 | Time 2203.5s
Step 460 | Acc 0.7594 | Time 2285.4s
Step 480 | Acc 0.7628 | Time 2394.5s
Step 500 | Acc 0.7604 | Time 2502.8s
