Step 20 | Acc 0.4912 | Time 80.6s
Step 40 | Acc 0.5640 | Time 165.8s
Step 60 | Acc 0.6245 | Time 273.7s
Step 80 | Acc 0.6392 | Time 387.4s
Step 100 | Acc 0.6834 | Time 503.9s
Step 120 | Acc 0.6809 | Time 617.0s
Step 140 | Acc 0.6799 | Time 697.7s
Step 160 | Acc 0.7290 | Time 778.2s
Step 180 | Acc 0.7239 | Time 909.6s
Step 200 | Acc 0.6685 | Time 990.3s
Step 220 | Acc 0.7278 | Time 1070.9s
Step 240 | Acc 0.7435 | Time 1151.4s
Step 260 | Acc 0.7294 | Time 1259.3s
Step 280 | Acc 0.7329 | Time 1340.1s
Step 300 | Acc 0.7488 | Time 1420.7s
Step 320 | Acc 0.7435 | Time 1545.6s
Step 340 | Acc 0.7433 | Time 1626.3s
Step 360 | Acc 0.7111 | Time 1706.9s
Step 380 | Acc 0.7571 | Time 1788.0s
Step 400 | Acc 0.7478 | Time 1895.4s
Step 420 | Acc 0.7567 | Time 1976.0s
Step 440 | Acc 0.7347 | Time 2056.9s
Step 460 | Acc 0.7606 | Time 2137.5s
