Step 20 | Acc 0.4908 | Time 80.7s
Step 40 | Acc 0.5634 | Time 165.8s
Step 60 | Acc 0.6249 | Time 273.5s
Step 80 | Acc 0.6359 | Time 381.6s
Step 100 | Acc 0.6836 | Time 489.1s
Step 120 | Acc 0.6797 | Time 596.9s
Step 140 | Acc 0.6822 | Time 677.8s
Step 160 | Acc 0.7294 | Time 758.5s
Step 180 | Acc 0.7247 | Time 868.5s
Step 200 | Acc 0.6661 | Time 949.3s
Step 220 | Acc 0.7292 | Time 1030.0s
Step 240 | Acc 0.7447 | Time 1110.6s
Step 260 | Acc 0.7313 | Time 1234.8s
Step 280 | Acc 0.7382 | Time 1315.7s
Step 300 | Acc 0.7447 | Time 1396.7s
Step 320 | Acc 0.7445 | Time 1477.4s
Step 340 | Acc 0.7474 | Time 1558.4s
Step 360 | Acc 0.7111 | Time 1672.6s
Step 380 | Acc 0.7577 | Time 1753.7s
Step 400 | Acc 0.7416 | Time 1866.5s
Step 420 | Acc 0.7571 | Time 1947.3s
Step 440 | Acc 0.7392 | Time 2028.3s
Step 460 | Acc 0.7573 | Time 2109.0s
