Step 20 | Acc 0.4458 | Time 48.9s
Step 40 | Acc 0.5016 | Time 97.8s
Step 60 | Acc 0.6235 | Time 147.5s
Step 80 | Acc 0.6438 | Time 196.8s
Step 100 | Acc 0.6797 | Time 246.4s
Step 120 | Acc 0.6756 | Time 295.9s
Step 140 | Acc 0.6565 | Time 345.1s
Step 160 | Acc 0.6834 | Time 395.5s
Step 180 | Acc 0.6932 | Time 444.5s
Step 200 | Acc 0.7066 | Time 494.2s
Step 220 | Acc 0.7270 | Time 543.4s
Step 240 | Acc 0.7058 | Time 592.4s
Step 260 | Acc 0.7465 | Time 641.7s
Step 280 | Acc 0.7343 | Time 690.8s
Step 300 | Acc 0.7531 | Time 740.2s
Step 320 | Acc 0.7579 | Time 789.3s
Step 340 | Acc 0.7518 | Time 838.4s
Step 360 | Acc 0.7555 | Time 889.3s
Step 380 | Acc 0.7563 | Time 938.5s
Step 400 | Acc 0.7714 | Time 987.2s
Step 420 | Acc 0.7531 | Time 1036.1s
Step 440 | Acc 0.7555 | Time 1085.6s
Step 460 | Acc 0.7384 | Time 1134.4s
Step 480 | Acc 0.7347 | Time 1183.9s
Step 500 | Acc 0.7738 | Time 1232.8s
