Step 20 | Acc 0.4478 | Time 48.9s
Step 40 | Acc 0.4959 | Time 101.5s
Step 60 | Acc 0.6438 | Time 177.9s
Step 80 | Acc 0.6553 | Time 263.0s
Step 100 | Acc 0.6585 | Time 345.8s
Step 120 | Acc 0.6785 | Time 430.3s
Step 140 | Acc 0.6369 | Time 506.0s
Step 160 | Acc 0.6964 | Time 555.2s
Step 180 | Acc 0.6512 | Time 650.3s
Step 200 | Acc 0.6675 | Time 699.3s
Step 220 | Acc 0.6972 | Time 748.1s
Step 240 | Acc 0.6879 | Time 823.6s
Step 260 | Acc 0.7319 | Time 872.5s
Step 280 | Acc 0.7384 | Time 948.9s
Step 300 | Acc 0.7514 | Time 1025.0s
Step 320 | Acc 0.7559 | Time 1113.9s
Step 340 | Acc 0.7514 | Time 1200.9s
Step 360 | Acc 0.7559 | Time 1250.1s
