Step 20 | Acc 0.4454 | Time 49.2s
Step 40 | Acc 0.4984 | Time 102.2s
Step 60 | Acc 0.6198 | Time 203.3s
Step 80 | Acc 0.6520 | Time 279.7s
Step 100 | Acc 0.5522 | Time 380.3s
Step 120 | Acc 0.6781 | Time 429.8s
Step 140 | Acc 0.6826 | Time 506.5s
Step 160 | Acc 0.6964 | Time 608.5s
Step 180 | Acc 0.6923 | Time 690.1s
Step 200 | Acc 0.6940 | Time 739.6s
Step 220 | Acc 0.6952 | Time 789.1s
Step 240 | Acc 0.7017 | Time 838.0s
Step 260 | Acc 0.7359 | Time 915.0s
Step 280 | Acc 0.7298 | Time 1014.8s
Step 300 | Acc 0.7490 | Time 1064.5s
Step 320 | Acc 0.7469 | Time 1140.8s
Step 340 | Acc 0.7323 | Time 1190.2s
Step 360 | Acc 0.7543 | Time 1240.0s
Step 380 | Acc 0.7649 | Time 1317.0s
Step 400 | Acc 0.7751 | Time 1408.7s
