Step 20 | Acc 0.4470 | Time 48.4s
Step 40 | Acc 0.4980 | Time 101.2s
Step 60 | Acc 0.6190 | Time 177.3s
Step 80 | Acc 0.6508 | Time 274.9s
Step 100 | Acc 0.6544 | Time 366.2s
Step 120 | Acc 0.6711 | Time 441.9s
Step 140 | Acc 0.6618 | Time 518.7s
Step 160 | Acc 0.6797 | Time 567.0s
Step 180 | Acc 0.6736 | Time 643.4s
Step 200 | Acc 0.7021 | Time 692.3s
Step 220 | Acc 0.7131 | Time 768.8s
Step 240 | Acc 0.7095 | Time 844.8s
Step 260 | Acc 0.7469 | Time 893.6s
Step 280 | Acc 0.7539 | Time 970.0s
Step 300 | Acc 0.7575 | Time 1057.4s
Step 320 | Acc 0.7575 | Time 1132.6s
Step 340 | Acc 0.7543 | Time 1181.2s
