Step 20 | Acc 0.4478 | Time 48.2s
Step 40 | Acc 0.4988 | Time 100.1s
Step 60 | Acc 0.6149 | Time 198.8s
Step 80 | Acc 0.6463 | Time 274.1s
Step 100 | Acc 0.6504 | Time 349.6s
Step 120 | Acc 0.6699 | Time 424.7s
Step 140 | Acc 0.6654 | Time 499.6s
Step 160 | Acc 0.6826 | Time 547.4s
Step 180 | Acc 0.6813 | Time 622.8s
Step 200 | Acc 0.6985 | Time 670.7s
Step 220 | Acc 0.7066 | Time 746.0s
Step 240 | Acc 0.7074 | Time 821.0s
Step 260 | Acc 0.7421 | Time 909.1s
Step 280 | Acc 0.7437 | Time 984.6s
Step 300 | Acc 0.7559 | Time 1059.7s
Step 320 | Acc 0.7559 | Time 1135.0s
Step 340 | Acc 0.7380 | Time 1183.0s
Step 360 | Acc 0.7535 | Time 1231.0s
Step 380 | Acc 0.7535 | Time 1279.6s
