Step 20 | Acc 0.4466 | Time 48.3s
Step 40 | Acc 0.5008 | Time 100.5s
Step 60 | Acc 0.6178 | Time 213.3s
Step 80 | Acc 0.6487 | Time 289.7s
Step 100 | Acc 0.6544 | Time 373.5s
Step 120 | Acc 0.6699 | Time 460.6s
Step 140 | Acc 0.6646 | Time 535.8s
Step 160 | Acc 0.6817 | Time 583.9s
Step 180 | Acc 0.6781 | Time 659.5s
Step 200 | Acc 0.6907 | Time 707.6s
Step 220 | Acc 0.7258 | Time 783.1s
Step 240 | Acc 0.7107 | Time 877.2s
Step 260 | Acc 0.7461 | Time 925.4s
Step 280 | Acc 0.7404 | Time 1000.7s
Step 300 | Acc 0.7535 | Time 1049.0s
Step 320 | Acc 0.7588 | Time 1124.7s
Step 340 | Acc 0.7400 | Time 1200.3s
Step 360 | Acc 0.7547 | Time 1249.1s
Step 380 | Acc 0.7522 | Time 1297.8s
