Step 20 | Acc 0.4478 | Time 47.9s
Step 40 | Acc 0.4980 | Time 99.7s
Step 60 | Acc 0.6157 | Time 190.3s
Step 80 | Acc 0.6467 | Time 266.2s
Step 100 | Acc 0.6520 | Time 364.4s
Step 120 | Acc 0.6683 | Time 439.3s
Step 140 | Acc 0.6630 | Time 525.8s
Step 160 | Acc 0.6887 | Time 573.6s
Step 180 | Acc 0.6659 | Time 648.9s
Step 200 | Acc 0.6985 | Time 696.6s
Step 220 | Acc 0.7123 | Time 778.0s
Step 240 | Acc 0.7192 | Time 867.1s
Step 260 | Acc 0.7490 | Time 941.7s
Step 280 | Acc 0.7412 | Time 1016.8s
Step 300 | Acc 0.7575 | Time 1064.5s
Step 320 | Acc 0.7535 | Time 1155.1s
Step 340 | Acc 0.7363 | Time 1202.8s
Step 360 | Acc 0.7490 | Time 1250.8s
Step 380 | Acc 0.7474 | Time 1298.7s
Step 400 | Acc 0.7738 | Time 1346.6s
