Step 20 | Acc 0.4478 | Time 47.5s
Step 40 | Acc 0.4980 | Time 94.8s
Step 60 | Acc 0.6157 | Time 142.2s
Step 80 | Acc 0.6467 | Time 190.3s
Step 100 | Acc 0.6520 | Time 237.9s
Step 120 | Acc 0.6683 | Time 285.8s
Step 140 | Acc 0.6630 | Time 333.5s
Step 160 | Acc 0.6887 | Time 381.1s
Step 180 | Acc 0.6659 | Time 429.1s
Step 200 | Acc 0.6985 | Time 476.7s
Step 220 | Acc 0.7123 | Time 524.3s
Step 240 | Acc 0.7192 | Time 571.9s
Step 260 | Acc 0.7490 | Time 619.5s
Step 280 | Acc 0.7412 | Time 667.2s
Step 300 | Acc 0.7575 | Time 714.8s
Step 320 | Acc 0.7535 | Time 762.5s
Step 340 | Acc 0.7363 | Time 810.1s
Step 360 | Acc 0.7490 | Time 857.9s
Step 380 | Acc 0.7474 | Time 905.6s
Step 400 | Acc 0.7738 | Time 953.1s
Step 420 | Acc 0.7453 | Time 1000.7s
Step 440 | Acc 0.7482 | Time 1048.5s
Step 460 | Acc 0.7355 | Time 1096.1s
Step 480 | Acc 0.7592 | Time 1143.7s
Step 500 | Acc 0.7726 | Time 1191.3s
