Step 20 | Acc 0.4703 | Time 32.8s
Step 40 | Acc 0.5648 | Time 65.2s
Step 60 | Acc 0.5151 | Time 97.4s
Step 80 | Acc 0.6398 | Time 130.0s
Step 100 | Acc 0.6716 | Time 162.4s
Step 120 | Acc 0.6691 | Time 194.9s
Step 140 | Acc 0.7082 | Time 227.6s
Step 160 | Acc 0.7278 | Time 259.9s
Step 180 | Acc 0.7148 | Time 292.7s
Step 200 | Acc 0.7368 | Time 325.5s
Step 220 | Acc 0.7213 | Time 357.8s
Step 240 | Acc 0.7425 | Time 389.8s
Step 260 | Acc 0.7637 | Time 422.5s
Step 280 | Acc 0.7612 | Time 454.9s
Step 300 | Acc 0.7677 | Time 487.3s
Step 320 | Acc 0.7661 | Time 519.3s
Step 340 | Acc 0.7555 | Time 551.8s
Step 360 | Acc 0.7482 | Time 584.8s
Step 380 | Acc 0.7433 | Time 617.3s
Step 400 | Acc 0.7791 | Time 649.5s
Step 420 | Acc 0.7734 | Time 681.9s
Step 440 | Acc 0.7759 | Time 714.3s
Step 460 | Acc 0.7726 | Time 746.9s
Step 480 | Acc 0.7800 | Time 779.8s
Step 500 | Acc 0.7751 | Time 811.9s
