Step 20 | Acc 0.5405 | Time 93.6s
Step 40 | Acc 0.5862 | Time 191.0s
Step 60 | Acc 0.6025 | Time 310.8s
Step 80 | Acc 0.6695 | Time 430.6s
Step 100 | Acc 0.6966 | Time 551.2s
Step 120 | Acc 0.7207 | Time 671.5s
Step 140 | Acc 0.6879 | Time 791.9s
Step 160 | Acc 0.6964 | Time 884.9s
Step 180 | Acc 0.7296 | Time 978.8s
Step 200 | Acc 0.6585 | Time 1099.1s
Step 220 | Acc 0.7264 | Time 1191.7s
Step 240 | Acc 0.7070 | Time 1285.1s
Step 260 | Acc 0.7390 | Time 1378.2s
Step 280 | Acc 0.7223 | Time 1497.6s
Step 300 | Acc 0.7423 | Time 1590.2s
Step 320 | Acc 0.7376 | Time 1711.5s
Step 340 | Acc 0.7313 | Time 1805.1s
Step 360 | Acc 0.7370 | Time 1898.5s
Step 380 | Acc 0.7539 | Time 1991.7s
