Step 20 | Acc 0.3790 | Time 44.1s
Step 40 | Acc 0.6096 | Time 92.3s
Step 60 | Acc 0.5778 | Time 163.2s
Step 80 | Acc 0.6520 | Time 206.7s
Step 100 | Acc 0.6854 | Time 278.3s
Step 120 | Acc 0.6528 | Time 348.5s
Step 140 | Acc 0.7245 | Time 392.3s
Step 160 | Acc 0.7286 | Time 462.6s
Step 180 | Acc 0.7050 | Time 534.7s
Step 200 | Acc 0.7392 | Time 577.9s
Step 220 | Acc 0.6895 | Time 647.9s
Step 240 | Acc 0.7213 | Time 691.1s
Step 260 | Acc 0.7335 | Time 734.2s
Step 280 | Acc 0.7465 | Time 777.3s
Step 300 | Acc 0.7416 | Time 848.0s
Step 320 | Acc 0.7416 | Time 892.8s
Step 340 | Acc 0.7384 | Time 936.5s
Step 360 | Acc 0.7148 | Time 979.6s
Step 380 | Acc 0.7408 | Time 1023.4s
Step 400 | Acc 0.7351 | Time 1067.3s
Step 420 | Acc 0.7343 | Time 1110.6s
Step 440 | Acc 0.7514 | Time 1154.4s
