Step 100 | Acc 0.6775 | Time 202.0s
Step 200 | Acc 0.6705 | Time 410.3s
Step 300 | Acc 0.7349 | Time 615.8s
Step 400 | Acc 0.7567 | Time 848.2s
Step 500 | Acc 0.7598 | Time 1079.5s
Step 600 | Acc 0.7569 | Time 1313.1s
Step 700 | Acc 0.7734 | Time 1520.9s
Step 800 | Acc 0.7742 | Time 1758.6s
Step 900 | Acc 0.7734 | Time 1988.7s
Step 1000 | Acc 0.7728 | Time 2195.3s
Step 1100 | Acc 0.7840 | Time 2401.3s
Step 1200 | Acc 0.3346 | Time 2632.5s
Step 1300 | Acc 0.3158 | Time 2836.2s
Step 1400 | Acc 0.5933 | Time 3044.7s
