Step 100 | Acc 0.6787 | Time 171.3s
Step 200 | Acc 0.6555 | Time 348.6s
Step 300 | Acc 0.7419 | Time 522.0s
Step 400 | Acc 0.7445 | Time 725.1s
Step 500 | Acc 0.7592 | Time 930.1s
Step 600 | Acc 0.7502 | Time 1136.0s
Step 700 | Acc 0.7581 | Time 1307.6s
Step 800 | Acc 0.7775 | Time 1478.3s
Step 900 | Acc 0.7632 | Time 1678.4s
Step 1000 | Acc 0.7736 | Time 1855.0s
Step 1100 | Acc 0.7838 | Time 2027.5s
Step 1200 | Acc 0.7871 | Time 2229.0s
Step 1300 | Acc 0.7626 | Time 2431.8s
Step 1400 | Acc 0.7789 | Time 2607.3s
Step 1500 | Acc 0.7793 | Time 2780.7s
