Step 20 | Acc 0.4845 | Time 80.6s
Step 40 | Acc 0.5642 | Time 187.6s
Step 60 | Acc 0.6237 | Time 295.6s
Step 80 | Acc 0.6400 | Time 402.5s
Step 100 | Acc 0.6789 | Time 510.3s
Step 120 | Acc 0.6728 | Time 618.2s
Step 140 | Acc 0.6836 | Time 699.1s
Step 160 | Acc 0.7211 | Time 807.0s
Step 180 | Acc 0.7227 | Time 914.9s
Step 200 | Acc 0.6465 | Time 1022.7s
Step 220 | Acc 0.7237 | Time 1103.8s
Step 240 | Acc 0.7439 | Time 1211.7s
Step 260 | Acc 0.7376 | Time 1319.6s
Step 280 | Acc 0.7486 | Time 1400.6s
Step 300 | Acc 0.7441 | Time 1508.2s
Step 320 | Acc 0.7469 | Time 1588.7s
Step 340 | Acc 0.7229 | Time 1669.7s
