Step 20 | Acc 0.4908 | Time 99.5s
Step 40 | Acc 0.5652 | Time 225.4s
Step 60 | Acc 0.6249 | Time 351.4s
Step 80 | Acc 0.6369 | Time 477.7s
Step 100 | Acc 0.6834 | Time 604.1s
Step 120 | Acc 0.6781 | Time 730.3s
Step 140 | Acc 0.6803 | Time 829.6s
Step 160 | Acc 0.7284 | Time 928.9s
Step 180 | Acc 0.7264 | Time 1055.3s
Step 200 | Acc 0.6581 | Time 1154.5s
Step 220 | Acc 0.7290 | Time 1254.0s
Step 240 | Acc 0.7455 | Time 1380.4s
Step 260 | Acc 0.7323 | Time 1506.7s
Step 280 | Acc 0.7382 | Time 1606.1s
Step 300 | Acc 0.7500 | Time 1705.9s
