Step 20 | Acc 0.4847 | Time 81.0s
Step 40 | Acc 0.5642 | Time 166.0s
Step 60 | Acc 0.6229 | Time 273.7s
Step 80 | Acc 0.6418 | Time 381.8s
Step 100 | Acc 0.6822 | Time 490.8s
Step 120 | Acc 0.6760 | Time 599.2s
Step 140 | Acc 0.6850 | Time 680.7s
Step 160 | Acc 0.7247 | Time 789.1s
Step 180 | Acc 0.7221 | Time 897.9s
Step 200 | Acc 0.6506 | Time 979.4s
Step 220 | Acc 0.7319 | Time 1060.6s
Step 240 | Acc 0.7423 | Time 1168.1s
Step 260 | Acc 0.7327 | Time 1276.8s
Step 280 | Acc 0.7329 | Time 1357.7s
Step 300 | Acc 0.7474 | Time 1439.2s
Step 320 | Acc 0.7427 | Time 1546.8s
Step 340 | Acc 0.7467 | Time 1628.1s
Step 360 | Acc 0.7194 | Time 1709.6s
Step 380 | Acc 0.7518 | Time 1790.9s
