Step 20 | Acc 0.4914 | Time 79.3s
Step 40 | Acc 0.5636 | Time 162.8s
Step 60 | Acc 0.6241 | Time 269.5s
Step 80 | Acc 0.6369 | Time 376.7s
Step 100 | Acc 0.6834 | Time 484.0s
Step 120 | Acc 0.6805 | Time 591.0s
Step 140 | Acc 0.6828 | Time 670.9s
Step 160 | Acc 0.7288 | Time 750.8s
Step 180 | Acc 0.7249 | Time 858.5s
Step 200 | Acc 0.6722 | Time 938.2s
Step 220 | Acc 0.7288 | Time 1018.2s
Step 240 | Acc 0.7423 | Time 1097.9s
Step 260 | Acc 0.7329 | Time 1205.7s
Step 280 | Acc 0.7461 | Time 1285.5s
Step 300 | Acc 0.7469 | Time 1393.4s
Step 320 | Acc 0.7419 | Time 1500.6s
Step 340 | Acc 0.7467 | Time 1580.5s
Step 360 | Acc 0.7029 | Time 1661.0s
Step 380 | Acc 0.7575 | Time 1741.3s
