Step 20 | Acc 0.4462 | Time 47.6s
Step 40 | Acc 0.4976 | Time 99.9s
Step 60 | Acc 0.6117 | Time 174.6s
Step 80 | Acc 0.6434 | Time 250.0s
Step 100 | Acc 0.6418 | Time 324.7s
Step 120 | Acc 0.6711 | Time 372.4s
Step 140 | Acc 0.6659 | Time 446.9s
Step 160 | Acc 0.6834 | Time 494.5s
Step 180 | Acc 0.6923 | Time 569.9s
Step 200 | Acc 0.6976 | Time 644.8s
Step 220 | Acc 0.7070 | Time 719.7s
Step 240 | Acc 0.7131 | Time 794.6s
Step 260 | Acc 0.7392 | Time 869.7s
Step 280 | Acc 0.7457 | Time 944.5s
Step 300 | Acc 0.7490 | Time 1019.4s
Step 320 | Acc 0.7559 | Time 1093.8s
