Step 20 | Acc 0.4242 | Time 112.5s
Step 40 | Acc 0.4919 | Time 233.2s
Step 60 | Acc 0.5888 | Time 378.8s
Step 80 | Acc 0.6182 | Time 528.2s
Step 100 | Acc 0.6043 | Time 655.5s
Step 120 | Acc 0.6308 | Time 755.5s
Step 140 | Acc 0.6129 | Time 889.8s
Step 160 | Acc 0.6455 | Time 994.3s
Step 180 | Acc 0.6304 | Time 1128.1s
Step 200 | Acc 0.6414 | Time 1237.6s
Step 220 | Acc 0.6944 | Time 1337.3s
Step 240 | Acc 0.7009 | Time 1482.7s
Step 260 | Acc 0.7176 | Time 1629.7s
Step 280 | Acc 0.7213 | Time 1768.2s
Step 300 | Acc 0.7372 | Time 1898.0s
Step 320 | Acc 0.7315 | Time 2036.7s
Step 340 | Acc 0.7160 | Time 2147.5s
Step 360 | Acc 0.7115 | Time 2261.6s
Step 380 | Acc 0.7343 | Time 2370.6s
Step 400 | Acc 0.7457 | Time 2483.0s
Step 420 | Acc 0.7298 | Time 2625.6s
Step 440 | Acc 0.7205 | Time 2736.1s
Step 460 | Acc 0.7408 | Time 2856.4s
Step 480 | Acc 0.7274 | Time 2966.1s
Step 500 | Acc 0.7592 | Time 3076.9s
Step 520 | Acc 0.7380 | Time 3214.7s
Step 540 | Acc 0.7714 | Time 3322.6s
Step 560 | Acc 0.7718 | Time 3459.6s
