Step 20 | Acc 0.4470 | Time 48.3s
Step 40 | Acc 0.4980 | Time 100.7s
Step 60 | Acc 0.6190 | Time 176.1s
Step 80 | Acc 0.6508 | Time 251.7s
Step 100 | Acc 0.6544 | Time 327.2s
Step 120 | Acc 0.6711 | Time 402.8s
Step 140 | Acc 0.6618 | Time 478.4s
Step 160 | Acc 0.6797 | Time 526.7s
Step 180 | Acc 0.6736 | Time 602.5s
Step 200 | Acc 0.7021 | Time 651.4s
Step 220 | Acc 0.7131 | Time 726.8s
Step 240 | Acc 0.7095 | Time 801.8s
Step 260 | Acc 0.7469 | Time 850.5s
Step 280 | Acc 0.7539 | Time 926.0s
Step 300 | Acc 0.7575 | Time 1001.4s
Step 320 | Acc 0.7575 | Time 1076.5s
Step 340 | Acc 0.7543 | Time 1125.0s
