Step 20 | Acc 0.4466 | Time 47.8s
Step 40 | Acc 0.5008 | Time 99.4s
Step 60 | Acc 0.6178 | Time 174.3s
Step 80 | Acc 0.6487 | Time 249.8s
Step 100 | Acc 0.6544 | Time 324.8s
Step 120 | Acc 0.6699 | Time 399.8s
Step 140 | Acc 0.6646 | Time 474.8s
Step 160 | Acc 0.6817 | Time 522.7s
Step 180 | Acc 0.6781 | Time 598.1s
Step 200 | Acc 0.6907 | Time 646.1s
Step 220 | Acc 0.7258 | Time 721.5s
Step 240 | Acc 0.7107 | Time 796.1s
Step 260 | Acc 0.7461 | Time 844.2s
Step 280 | Acc 0.7404 | Time 919.3s
Step 300 | Acc 0.7535 | Time 967.5s
Step 320 | Acc 0.7588 | Time 1019.7s
Step 340 | Acc 0.7400 | Time 1072.4s
Step 360 | Acc 0.7547 | Time 1121.1s
Step 380 | Acc 0.7522 | Time 1173.4s
Step 400 | Acc 0.7751 | Time 1225.1s
