Step 20 | Acc 0.4478 | Time 47.4s
Step 40 | Acc 0.4980 | Time 98.7s
Step 60 | Acc 0.6157 | Time 173.9s
Step 80 | Acc 0.6467 | Time 249.2s
Step 100 | Acc 0.6520 | Time 323.5s
Step 120 | Acc 0.6683 | Time 397.8s
Step 140 | Acc 0.6630 | Time 472.0s
Step 160 | Acc 0.6887 | Time 518.9s
Step 180 | Acc 0.6659 | Time 593.4s
Step 200 | Acc 0.6985 | Time 640.4s
Step 220 | Acc 0.7123 | Time 715.5s
Step 240 | Acc 0.7192 | Time 789.7s
Step 260 | Acc 0.7490 | Time 863.9s
Step 280 | Acc 0.7412 | Time 938.6s
Step 300 | Acc 0.7575 | Time 985.5s
Step 320 | Acc 0.7535 | Time 1060.2s
Step 340 | Acc 0.7363 | Time 1107.1s
Step 360 | Acc 0.7490 | Time 1154.2s
Step 380 | Acc 0.7474 | Time 1201.2s
Step 400 | Acc 0.7738 | Time 1248.1s
