Step 20 | Acc 0.6881 | Time 136.2s
Step 40 | Acc 0.8899 | Time 262.8s
Step 60 | Acc 0.9083 | Time 409.0s
Step 80 | Acc 0.9174 | Time 570.8s
Step 100 | Acc 0.9083 | Time 722.1s
Step 120 | Acc 0.8624 | Time 861.2s
Step 140 | Acc 0.9083 | Time 1000.5s
Step 160 | Acc 0.9083 | Time 1141.2s
Step 180 | Acc 0.8624 | Time 1270.2s
Step 200 | Acc 0.9174 | Time 1411.0s
Step 220 | Acc 0.8899 | Time 1546.9s
Step 240 | Acc 0.9266 | Time 1683.3s
Step 260 | Acc 0.8991 | Time 1849.1s
Step 280 | Acc 0.8991 | Time 1984.5s
Step 300 | Acc 0.9358 | Time 2125.4s
Step 320 | Acc 0.9174 | Time 2279.8s
Step 340 | Acc 0.9174 | Time 2414.1s
Step 360 | Acc 0.8807 | Time 2553.1s
Step 380 | Acc 0.9358 | Time 2686.3s
Step 400 | Acc 0.9358 | Time 2825.0s
Step 420 | Acc 0.9450 | Time 2962.0s
Step 440 | Acc 0.9358 | Time 3114.0s
Step 460 | Acc 0.9358 | Time 3258.5s
Step 480 | Acc 0.9266 | Time 3404.5s
Step 500 | Acc 0.9266 | Time 3542.6s
Step 520 | Acc 0.9266 | Time 3680.1s
Step 540 | Acc 0.8991 | Time 3817.3s
Step 560 | Acc 0.9358 | Time 3957.0s
Step 580 | Acc 0.9358 | Time 4094.6s
Step 600 | Acc 0.9358 | Time 4232.6s
Step 620 | Acc 0.8991 | Time 4371.4s
