Step 20 | Acc 0.4784 | Time 58.9s
Step 40 | Acc 0.5558 | Time 121.1s
Step 60 | Acc 0.5452 | Time 206.5s
Step 80 | Acc 0.6626 | Time 264.3s
Step 100 | Acc 0.6561 | Time 350.3s
Step 120 | Acc 0.6976 | Time 408.1s
Step 140 | Acc 0.7066 | Time 493.2s
Step 160 | Acc 0.7066 | Time 579.0s
Step 180 | Acc 0.7148 | Time 636.3s
Step 200 | Acc 0.7343 | Time 721.7s
Step 220 | Acc 0.7172 | Time 806.7s
Step 240 | Acc 0.7416 | Time 864.1s
Step 260 | Acc 0.7425 | Time 949.3s
Step 280 | Acc 0.7653 | Time 1034.5s
Step 300 | Acc 0.7653 | Time 1120.0s
Step 320 | Acc 0.7416 | Time 1177.2s
