Step 20 | Acc 0.4703 | Time 32.5s
Step 40 | Acc 0.5632 | Time 68.5s
Step 60 | Acc 0.5281 | Time 127.7s
Step 80 | Acc 0.6659 | Time 160.3s
Step 100 | Acc 0.6911 | Time 219.4s
Step 120 | Acc 0.6830 | Time 278.6s
Step 140 | Acc 0.6976 | Time 310.5s
Step 160 | Acc 0.7245 | Time 369.3s
Step 180 | Acc 0.7050 | Time 428.9s
Step 200 | Acc 0.7343 | Time 461.1s
Step 220 | Acc 0.7457 | Time 520.0s
Step 240 | Acc 0.7563 | Time 579.4s
Step 260 | Acc 0.7531 | Time 616.0s
Step 280 | Acc 0.7474 | Time 652.1s
Step 300 | Acc 0.7677 | Time 720.0s
Step 320 | Acc 0.7408 | Time 755.7s
Step 340 | Acc 0.7498 | Time 787.8s
Step 360 | Acc 0.7506 | Time 847.4s
Step 380 | Acc 0.7531 | Time 883.8s
