Step 20 | Acc 0.4703 | Time 32.3s
Step 40 | Acc 0.5648 | Time 67.6s
Step 60 | Acc 0.5428 | Time 126.2s
Step 80 | Acc 0.6618 | Time 158.1s
Step 100 | Acc 0.6846 | Time 217.0s
Step 120 | Acc 0.6903 | Time 275.7s
Step 140 | Acc 0.6879 | Time 334.2s
Step 160 | Acc 0.7253 | Time 365.5s
Step 180 | Acc 0.7237 | Time 424.6s
Step 200 | Acc 0.7368 | Time 456.0s
Step 220 | Acc 0.7139 | Time 514.4s
Step 240 | Acc 0.7270 | Time 545.9s
Step 260 | Acc 0.7531 | Time 578.0s
Step 280 | Acc 0.7653 | Time 636.4s
Step 300 | Acc 0.7506 | Time 694.8s
Step 320 | Acc 0.7547 | Time 726.3s
