Step 20 | Acc 0.4311 | Time 28.4s
Step 40 | Acc 0.5110 | Time 60.3s
Step 60 | Acc 0.5371 | Time 116.7s
Step 80 | Acc 0.5061 | Time 171.5s
Step 100 | Acc 0.6015 | Time 200.2s
Step 120 | Acc 0.5607 | Time 255.8s
Step 140 | Acc 0.6137 | Time 283.7s
Step 160 | Acc 0.5615 | Time 338.9s
Step 180 | Acc 0.6145 | Time 367.2s
Step 200 | Acc 0.6471 | Time 422.3s
Step 220 | Acc 0.6390 | Time 478.2s
Step 240 | Acc 0.6667 | Time 506.0s
Step 260 | Acc 0.7131 | Time 560.8s
Step 280 | Acc 0.7156 | Time 616.5s
Step 300 | Acc 0.7025 | Time 672.1s
Step 320 | Acc 0.7213 | Time 699.4s
Step 340 | Acc 0.6659 | Time 755.0s
Step 360 | Acc 0.6911 | Time 782.9s
Step 380 | Acc 0.7270 | Time 810.4s
Step 400 | Acc 0.7343 | Time 865.9s
Step 420 | Acc 0.7465 | Time 920.3s
Step 440 | Acc 0.7042 | Time 975.9s
Step 460 | Acc 0.6764 | Time 1004.2s
Step 480 | Acc 0.7213 | Time 1032.0s
