Step 20 | Acc 0.4328 | Time 49.3s
Step 40 | Acc 0.5045 | Time 102.1s
Step 60 | Acc 0.5077 | Time 178.5s
Step 80 | Acc 0.5428 | Time 254.7s
Step 100 | Acc 0.5941 | Time 331.3s
Step 120 | Acc 0.5420 | Time 407.8s
Step 140 | Acc 0.6088 | Time 456.6s
Step 160 | Acc 0.5469 | Time 533.3s
Step 180 | Acc 0.6284 | Time 582.1s
Step 200 | Acc 0.6064 | Time 658.7s
Step 220 | Acc 0.5909 | Time 707.0s
Step 240 | Acc 0.6667 | Time 755.7s
Step 260 | Acc 0.6960 | Time 832.4s
Step 280 | Acc 0.7115 | Time 908.4s
Step 300 | Acc 0.7139 | Time 985.2s
Step 320 | Acc 0.7286 | Time 1061.2s
Step 340 | Acc 0.6789 | Time 1138.4s
Step 360 | Acc 0.7253 | Time 1186.8s
Step 380 | Acc 0.7148 | Time 1235.9s
