Step 20 | Acc 0.4703 | Time 51.8s
Step 40 | Acc 0.5640 | Time 106.5s
Step 60 | Acc 0.5273 | Time 183.4s
Step 80 | Acc 0.6642 | Time 232.9s
Step 100 | Acc 0.6781 | Time 310.3s
Step 120 | Acc 0.6732 | Time 387.9s
Step 140 | Acc 0.6830 | Time 438.1s
Step 160 | Acc 0.7221 | Time 515.9s
Step 180 | Acc 0.7156 | Time 594.2s
Step 200 | Acc 0.7302 | Time 644.0s
Step 220 | Acc 0.7311 | Time 721.6s
Step 240 | Acc 0.7368 | Time 798.8s
Step 260 | Acc 0.7612 | Time 876.5s
Step 280 | Acc 0.7506 | Time 954.6s
Step 300 | Acc 0.7571 | Time 1004.8s
Step 320 | Acc 0.7408 | Time 1054.4s
Step 340 | Acc 0.7539 | Time 1104.2s
