Step 20 | Acc 0.4319 | Time 27.8s
Step 40 | Acc 0.5110 | Time 59.4s
Step 60 | Acc 0.5126 | Time 114.8s
Step 80 | Acc 0.5297 | Time 169.3s
Step 100 | Acc 0.6064 | Time 225.2s
Step 120 | Acc 0.5485 | Time 281.2s
Step 140 | Acc 0.6194 | Time 309.2s
Step 160 | Acc 0.5697 | Time 365.0s
Step 180 | Acc 0.6316 | Time 393.6s
Step 200 | Acc 0.6316 | Time 448.7s
Step 220 | Acc 0.6349 | Time 476.5s
Step 240 | Acc 0.6447 | Time 531.6s
Step 260 | Acc 0.6952 | Time 587.0s
Step 280 | Acc 0.7229 | Time 642.5s
Step 300 | Acc 0.7115 | Time 697.8s
Step 320 | Acc 0.7058 | Time 725.0s
Step 340 | Acc 0.7009 | Time 752.9s
