Step 20 | Acc 0.4319 | Time 27.9s
Step 40 | Acc 0.5110 | Time 59.7s
Step 60 | Acc 0.5126 | Time 110.9s
Step 80 | Acc 0.5297 | Time 165.5s
Step 100 | Acc 0.6064 | Time 221.1s
Step 120 | Acc 0.5485 | Time 276.1s
Step 140 | Acc 0.6194 | Time 304.1s
Step 160 | Acc 0.5697 | Time 359.2s
Step 180 | Acc 0.6316 | Time 387.7s
Step 200 | Acc 0.6316 | Time 442.7s
Step 220 | Acc 0.6349 | Time 470.5s
Step 240 | Acc 0.6447 | Time 524.8s
Step 260 | Acc 0.6952 | Time 580.1s
Step 280 | Acc 0.7229 | Time 634.7s
Step 300 | Acc 0.7115 | Time 690.0s
Step 320 | Acc 0.7058 | Time 717.2s
Step 340 | Acc 0.7009 | Time 745.2s
Step 360 | Acc 0.7115 | Time 773.5s
Step 380 | Acc 0.7351 | Time 801.5s
Step 400 | Acc 0.7270 | Time 856.2s
Step 420 | Acc 0.7376 | Time 883.8s
Step 440 | Acc 0.6944 | Time 938.9s
Step 460 | Acc 0.6544 | Time 966.6s
Step 480 | Acc 0.7237 | Time 994.9s
Step 500 | Acc 0.7351 | Time 1022.3s
Step 520 | Acc 0.7229 | Time 1049.9s
Step 540 | Acc 0.7384 | Time 1078.2s
Step 560 | Acc 0.7416 | Time 1133.0s
Step 580 | Acc 0.7604 | Time 1187.7s
