Step 20 | Acc 0.4319 | Time 28.1s
Step 40 | Acc 0.5110 | Time 83.3s
Step 60 | Acc 0.5126 | Time 138.0s
Step 80 | Acc 0.5297 | Time 193.0s
Step 100 | Acc 0.6064 | Time 248.9s
Step 120 | Acc 0.5485 | Time 304.2s
Step 140 | Acc 0.6194 | Time 332.2s
Step 160 | Acc 0.5697 | Time 388.5s
Step 180 | Acc 0.6316 | Time 417.0s
Step 200 | Acc 0.6316 | Time 472.9s
Step 220 | Acc 0.6349 | Time 500.7s
Step 240 | Acc 0.6447 | Time 556.1s
Step 260 | Acc 0.6952 | Time 611.9s
Step 280 | Acc 0.7229 | Time 667.6s
Step 300 | Acc 0.7115 | Time 723.9s
Step 320 | Acc 0.7058 | Time 751.1s
Step 340 | Acc 0.7009 | Time 779.2s
