Step 20 | Acc 0.4328 | Time 26.8s
Step 40 | Acc 0.5053 | Time 57.5s
Step 60 | Acc 0.5102 | Time 111.1s
Step 80 | Acc 0.5346 | Time 165.9s
Step 100 | Acc 0.6031 | Time 219.3s
Step 120 | Acc 0.5452 | Time 272.9s
Step 140 | Acc 0.6243 | Time 299.4s
Step 160 | Acc 0.5469 | Time 352.9s
Step 180 | Acc 0.5566 | Time 379.9s
Step 200 | Acc 0.6650 | Time 406.4s
Step 220 | Acc 0.6129 | Time 460.0s
Step 240 | Acc 0.6716 | Time 486.3s
Step 260 | Acc 0.6952 | Time 540.0s
Step 280 | Acc 0.7278 | Time 593.8s
Step 300 | Acc 0.7074 | Time 647.7s
Step 320 | Acc 0.7229 | Time 674.1s
Step 340 | Acc 0.6968 | Time 700.9s
