Step 20 | Acc 0.4328 | Time 27.0s
Step 40 | Acc 0.5053 | Time 57.8s
Step 60 | Acc 0.5102 | Time 111.0s
Step 80 | Acc 0.5346 | Time 164.8s
Step 100 | Acc 0.6031 | Time 218.4s
Step 120 | Acc 0.5452 | Time 272.1s
Step 140 | Acc 0.6243 | Time 298.6s
Step 160 | Acc 0.5469 | Time 352.1s
Step 180 | Acc 0.5566 | Time 379.1s
Step 200 | Acc 0.6650 | Time 405.7s
Step 220 | Acc 0.6129 | Time 459.2s
Step 240 | Acc 0.6716 | Time 485.5s
Step 260 | Acc 0.6952 | Time 539.1s
Step 280 | Acc 0.7278 | Time 592.8s
Step 300 | Acc 0.7074 | Time 646.6s
Step 320 | Acc 0.7229 | Time 673.0s
Step 340 | Acc 0.6968 | Time 699.8s
Step 360 | Acc 0.7278 | Time 727.0s
Step 380 | Acc 0.7213 | Time 753.9s
Step 400 | Acc 0.7180 | Time 780.4s
Step 420 | Acc 0.7392 | Time 807.0s
Step 440 | Acc 0.7074 | Time 860.7s
Step 460 | Acc 0.6748 | Time 887.1s
Step 480 | Acc 0.7474 | Time 913.6s
Step 500 | Acc 0.7408 | Time 967.1s
Step 520 | Acc 0.7270 | Time 993.8s
Step 540 | Acc 0.7384 | Time 1020.8s
Step 560 | Acc 0.7425 | Time 1047.4s
Step 580 | Acc 0.7506 | Time 1073.9s
