Step 20 | Acc 0.4328 | Time 27.2s
Step 40 | Acc 0.5053 | Time 58.0s
Step 60 | Acc 0.5102 | Time 109.6s
Step 80 | Acc 0.5346 | Time 164.4s
Step 100 | Acc 0.6031 | Time 218.1s
Step 120 | Acc 0.5452 | Time 272.7s
Step 140 | Acc 0.6243 | Time 299.1s
Step 160 | Acc 0.5469 | Time 352.7s
Step 180 | Acc 0.5566 | Time 379.6s
Step 200 | Acc 0.6650 | Time 406.2s
Step 220 | Acc 0.6129 | Time 459.8s
Step 240 | Acc 0.6716 | Time 486.1s
Step 260 | Acc 0.6952 | Time 539.8s
Step 280 | Acc 0.7278 | Time 593.6s
Step 300 | Acc 0.7074 | Time 647.5s
Step 320 | Acc 0.7229 | Time 673.9s
Step 340 | Acc 0.6968 | Time 700.6s
