Step 20 | Acc 0.7890 | Time 20.0s
Step 40 | Acc 0.8716 | Time 42.5s
Step 60 | Acc 0.9083 | Time 88.1s
Step 80 | Acc 0.9174 | Time 133.6s
Step 100 | Acc 0.8807 | Time 179.7s
Step 120 | Acc 0.8624 | Time 198.7s
Step 140 | Acc 0.9174 | Time 216.8s
Step 160 | Acc 0.8716 | Time 234.8s
Step 180 | Acc 0.8899 | Time 253.8s
Step 200 | Acc 0.8899 | Time 271.8s
Step 220 | Acc 0.8991 | Time 290.7s
Step 240 | Acc 0.8807 | Time 308.9s
Step 260 | Acc 0.8807 | Time 327.3s
Step 280 | Acc 0.8716 | Time 346.3s
Step 300 | Acc 0.8716 | Time 364.3s
Step 320 | Acc 0.9358 | Time 382.3s
Step 340 | Acc 0.9450 | Time 427.7s
