Step 20 | Acc 0.7890 | Time 18.0s
Step 40 | Acc 0.8440 | Time 39.5s
Step 60 | Acc 0.8899 | Time 84.1s
Step 80 | Acc 0.9266 | Time 129.3s
Step 100 | Acc 0.8624 | Time 174.1s
Step 120 | Acc 0.8716 | Time 191.3s
Step 140 | Acc 0.8991 | Time 208.3s
Step 160 | Acc 0.8624 | Time 225.3s
Step 180 | Acc 0.8716 | Time 243.3s
Step 200 | Acc 0.9174 | Time 260.3s
Step 220 | Acc 0.8899 | Time 277.5s
Step 240 | Acc 0.8716 | Time 294.5s
Step 260 | Acc 0.8716 | Time 311.7s
Step 280 | Acc 0.8624 | Time 328.6s
Step 300 | Acc 0.8440 | Time 345.7s
Step 320 | Acc 0.8716 | Time 362.6s
Step 340 | Acc 0.9358 | Time 379.7s
Step 360 | Acc 0.8807 | Time 424.2s
Step 380 | Acc 0.8807 | Time 441.2s
Step 400 | Acc 0.8807 | Time 458.7s
Step 420 | Acc 0.8899 | Time 475.7s
Step 440 | Acc 0.8807 | Time 492.8s
Step 460 | Acc 0.8440 | Time 509.9s
Step 480 | Acc 0.8716 | Time 527.0s
Step 500 | Acc 0.8899 | Time 544.1s
Step 520 | Acc 0.8624 | Time 561.2s
Step 540 | Acc 0.9083 | Time 578.2s
Step 560 | Acc 0.8807 | Time 595.1s
Step 580 | Acc 0.8991 | Time 612.3s
Step 600 | Acc 0.8991 | Time 629.7s
Step 620 | Acc 0.8991 | Time 646.8s
Step 640 | Acc 0.8991 | Time 664.0s
