Step 20 | Acc 0.7982 | Time 20.0s
Step 40 | Acc 0.8532 | Time 66.2s
Step 60 | Acc 0.8807 | Time 111.5s
Step 80 | Acc 0.8899 | Time 157.1s
Step 100 | Acc 0.8716 | Time 203.2s
Step 120 | Acc 0.8807 | Time 221.2s
Step 140 | Acc 0.9174 | Time 239.8s
Step 160 | Acc 0.8991 | Time 284.9s
Step 180 | Acc 0.8532 | Time 304.1s
Step 200 | Acc 0.8716 | Time 322.1s
Step 220 | Acc 0.8532 | Time 340.1s
Step 240 | Acc 0.8532 | Time 358.0s
Step 260 | Acc 0.8165 | Time 376.8s
Step 280 | Acc 0.8991 | Time 395.1s
Step 300 | Acc 0.8716 | Time 413.2s
Step 320 | Acc 0.8899 | Time 430.9s
Step 340 | Acc 0.9174 | Time 449.3s
Step 360 | Acc 0.8899 | Time 467.4s
Step 380 | Acc 0.8807 | Time 485.5s
Step 400 | Acc 0.8807 | Time 503.9s
Step 420 | Acc 0.8899 | Time 522.4s
Step 440 | Acc 0.8716 | Time 540.6s
