Step 20 | Acc 0.7890 | Time 18.9s
Step 40 | Acc 0.8624 | Time 64.0s
Step 60 | Acc 0.8716 | Time 108.8s
Step 80 | Acc 0.8991 | Time 154.5s
Step 100 | Acc 0.8716 | Time 200.6s
Step 120 | Acc 0.8624 | Time 218.1s
Step 140 | Acc 0.9266 | Time 236.1s
Step 160 | Acc 0.8807 | Time 280.7s
Step 180 | Acc 0.8899 | Time 299.1s
Step 200 | Acc 0.9174 | Time 316.5s
Step 220 | Acc 0.8716 | Time 333.9s
Step 240 | Acc 0.9083 | Time 351.1s
Step 260 | Acc 0.8716 | Time 368.9s
Step 280 | Acc 0.8991 | Time 386.1s
Step 300 | Acc 0.9266 | Time 403.6s
Step 320 | Acc 0.9083 | Time 420.8s
