Step 100 | Acc 0.6002 | Time 138.2s
Step 200 | Acc 0.6874 | Time 282.2s
Step 300 | Acc 0.7494 | Time 449.1s
Step 400 | Acc 0.7677 | Time 619.2s
Step 500 | Acc 0.7673 | Time 790.9s
Step 600 | Acc 0.7820 | Time 937.3s
Step 700 | Acc 0.7657 | Time 1102.5s
Step 800 | Acc 0.7641 | Time 1240.5s
Step 900 | Acc 0.7840 | Time 1380.9s
Step 1000 | Acc 0.7926 | Time 1551.8s
Step 1100 | Acc 0.7967 | Time 1718.2s
Step 1200 | Acc 0.7987 | Time 1886.4s
Step 1300 | Acc 0.7763 | Time 2055.8s
Step 1400 | Acc 0.8011 | Time 2198.2s
Step 1500 | Acc 0.7930 | Time 2365.2s
Step 1600 | Acc 0.7910 | Time 2511.4s
Step 1700 | Acc 0.7910 | Time 2652.4s
