Step 20 | Acc 0.4768 | Time 82.9s
Step 40 | Acc 0.4735 | Time 168.7s
Step 60 | Acc 0.6227 | Time 251.0s
Step 80 | Acc 0.5729 | Time 359.8s
Step 100 | Acc 0.5371 | Time 440.3s
Step 120 | Acc 0.6667 | Time 521.0s
Step 140 | Acc 0.6259 | Time 629.1s
Step 160 | Acc 0.6259 | Time 711.9s
Step 180 | Acc 0.5192 | Time 794.3s
Step 200 | Acc 0.7017 | Time 877.7s
Step 220 | Acc 0.6642 | Time 989.9s
Step 240 | Acc 0.6406 | Time 1075.1s
Step 260 | Acc 0.7229 | Time 1159.5s
Step 280 | Acc 0.6642 | Time 1268.5s
Step 300 | Acc 0.6773 | Time 1350.3s
Step 320 | Acc 0.6862 | Time 1431.6s
Step 340 | Acc 0.6707 | Time 1513.4s
Step 360 | Acc 0.7058 | Time 1595.8s
Step 380 | Acc 0.7099 | Time 1678.0s
Step 400 | Acc 0.7139 | Time 1759.0s
Step 420 | Acc 0.7286 | Time 1840.4s
Step 440 | Acc 0.7074 | Time 1949.7s
Step 460 | Acc 0.6960 | Time 2031.1s
Step 480 | Acc 0.7327 | Time 2112.1s
Step 500 | Acc 0.7343 | Time 2220.8s
Step 520 | Acc 0.6838 | Time 2329.2s
Step 540 | Acc 0.7139 | Time 2412.5s
Step 560 | Acc 0.7131 | Time 2496.8s
Step 580 | Acc 0.3896 | Time 2577.9s
Step 600 | Acc 0.5958 | Time 2661.9s
Step 620 | Acc 0.6455 | Time 2743.6s
Step 640 | Acc 0.7082 | Time 2824.5s
Step 660 | Acc 0.6161 | Time 2908.5s
Step 680 | Acc 0.6903 | Time 2991.3s
Step 700 | Acc 0.6626 | Time 3075.8s
