Step 20 | Acc 0.3572 | Time 101.5s
Step 40 | Acc 0.5342 | Time 207.4s
Step 60 | Acc 0.5110 | Time 340.7s
Step 80 | Acc 0.5717 | Time 442.0s
Step 100 | Acc 0.6182 | Time 571.5s
Step 120 | Acc 0.6286 | Time 705.2s
Step 140 | Acc 0.6412 | Time 833.2s
Step 160 | Acc 0.6263 | Time 962.0s
Step 180 | Acc 0.6614 | Time 1063.6s
Step 200 | Acc 0.6811 | Time 1191.8s
Step 220 | Acc 0.6948 | Time 1321.2s
Step 240 | Acc 0.7213 | Time 1450.0s
Step 260 | Acc 0.7078 | Time 1588.9s
Step 280 | Acc 0.6980 | Time 1690.0s
Step 300 | Acc 0.7127 | Time 1791.5s
Step 320 | Acc 0.7154 | Time 1892.8s
Step 340 | Acc 0.7347 | Time 1994.1s
Step 360 | Acc 0.7341 | Time 2134.8s
Step 380 | Acc 0.7260 | Time 2236.3s
Step 400 | Acc 0.6616 | Time 2337.8s
Step 420 | Acc 0.7321 | Time 2439.2s
Step 440 | Acc 0.7355 | Time 2540.4s
Step 460 | Acc 0.7404 | Time 2668.6s
Step 480 | Acc 0.7278 | Time 2818.0s
Step 500 | Acc 0.7162 | Time 2919.3s
Step 520 | Acc 0.7192 | Time 3020.9s
Step 540 | Acc 0.7412 | Time 3122.8s
Step 560 | Acc 0.7300 | Time 3252.7s
Step 580 | Acc 0.7366 | Time 3354.9s
Step 600 | Acc 0.7504 | Time 3457.3s
Step 620 | Acc 0.7520 | Time 3562.7s
Step 640 | Acc 0.7463 | Time 3668.4s
Step 660 | Acc 0.7217 | Time 3797.8s
Step 680 | Acc 0.7223 | Time 3900.2s
Step 700 | Acc 0.7306 | Time 4001.9s
Step 720 | Acc 0.7384 | Time 4103.7s
Step 740 | Acc 0.7590 | Time 4205.6s
Step 760 | Acc 0.7577 | Time 4311.0s
Step 780 | Acc 0.7520 | Time 4417.7s
