Step 20 | Acc 0.3602 | Time 77.7s
Step 40 | Acc 0.4925 | Time 182.6s
Step 60 | Acc 0.4629 | Time 287.5s
Step 80 | Acc 0.5570 | Time 365.7s
Step 100 | Acc 0.6041 | Time 470.5s
Step 120 | Acc 0.6273 | Time 575.4s
Step 140 | Acc 0.6365 | Time 680.2s
Step 160 | Acc 0.6557 | Time 785.0s
Step 180 | Acc 0.6538 | Time 889.8s
Step 200 | Acc 0.6919 | Time 967.7s
Step 220 | Acc 0.7115 | Time 1072.5s
Step 240 | Acc 0.7241 | Time 1177.3s
Step 260 | Acc 0.6985 | Time 1282.1s
Step 280 | Acc 0.6881 | Time 1360.1s
Step 300 | Acc 0.7001 | Time 1438.0s
Step 320 | Acc 0.7168 | Time 1516.1s
Step 340 | Acc 0.7256 | Time 1593.9s
Step 360 | Acc 0.6940 | Time 1698.7s
Step 380 | Acc 0.7170 | Time 1776.7s
Step 400 | Acc 0.6540 | Time 1854.6s
Step 420 | Acc 0.7241 | Time 1932.4s
Step 440 | Acc 0.7325 | Time 2010.3s
Step 460 | Acc 0.7215 | Time 2115.4s
Step 480 | Acc 0.7198 | Time 2193.3s
Step 500 | Acc 0.7188 | Time 2271.2s
Step 520 | Acc 0.7247 | Time 2349.1s
Step 540 | Acc 0.7345 | Time 2427.3s
Step 560 | Acc 0.7111 | Time 2532.3s
Step 580 | Acc 0.7282 | Time 2610.2s
Step 600 | Acc 0.7512 | Time 2688.1s
Step 620 | Acc 0.7567 | Time 2769.9s
Step 640 | Acc 0.7398 | Time 2851.9s
Step 660 | Acc 0.7192 | Time 2956.7s
Step 680 | Acc 0.7264 | Time 3034.7s
Step 700 | Acc 0.7298 | Time 3112.5s
Step 720 | Acc 0.7549 | Time 3190.4s
Step 740 | Acc 0.7506 | Time 3272.1s
Step 760 | Acc 0.7492 | Time 3354.0s
Step 780 | Acc 0.7408 | Time 3459.1s
Step 800 | Acc 0.7194 | Time 3537.0s
Step 820 | Acc 0.7319 | Time 3614.9s
Step 840 | Acc 0.7624 | Time 3692.7s
