Step 20 | Acc 0.4328 | Time 26.4s
Step 40 | Acc 0.5045 | Time 79.6s
Step 60 | Acc 0.5077 | Time 132.9s
Step 80 | Acc 0.5436 | Time 186.3s
Step 100 | Acc 0.5770 | Time 239.6s
Step 120 | Acc 0.5566 | Time 293.1s
Step 140 | Acc 0.6186 | Time 319.3s
Step 160 | Acc 0.5607 | Time 373.0s
Step 180 | Acc 0.6422 | Time 399.3s
Step 200 | Acc 0.6015 | Time 452.6s
Step 220 | Acc 0.6577 | Time 478.8s
Step 240 | Acc 0.6773 | Time 533.0s
Step 260 | Acc 0.7042 | Time 586.2s
Step 280 | Acc 0.7465 | Time 639.6s
Step 300 | Acc 0.6911 | Time 692.8s
Step 320 | Acc 0.7400 | Time 719.1s
Step 340 | Acc 0.6716 | Time 745.4s
