Step 20 | Acc 0.4694 | Time 57.1s
Step 40 | Acc 0.5656 | Time 118.2s
Step 60 | Acc 0.5281 | Time 203.0s
Step 80 | Acc 0.6577 | Time 259.7s
Step 100 | Acc 0.6585 | Time 343.4s
Step 120 | Acc 0.6813 | Time 427.4s
Step 140 | Acc 0.6887 | Time 511.4s
Step 160 | Acc 0.7115 | Time 595.4s
Step 180 | Acc 0.6968 | Time 679.1s
Step 200 | Acc 0.7148 | Time 735.6s
Step 220 | Acc 0.6936 | Time 819.3s
Step 240 | Acc 0.7270 | Time 875.6s
Step 260 | Acc 0.7628 | Time 959.0s
Step 280 | Acc 0.7628 | Time 1042.9s
Step 300 | Acc 0.7637 | Time 1099.8s
Step 320 | Acc 0.7514 | Time 1183.7s
