Step 20 | Acc 0.4328 | Time 26.9s
Step 40 | Acc 0.5045 | Time 53.1s
Step 60 | Acc 0.5077 | Time 79.4s
Step 80 | Acc 0.5436 | Time 106.1s
Step 100 | Acc 0.5770 | Time 132.5s
Step 120 | Acc 0.5566 | Time 159.2s
Step 140 | Acc 0.6186 | Time 185.7s
Step 160 | Acc 0.5607 | Time 212.1s
Step 180 | Acc 0.6422 | Time 238.6s
Step 200 | Acc 0.6015 | Time 265.1s
Step 220 | Acc 0.6577 | Time 291.5s
Step 240 | Acc 0.6773 | Time 318.0s
Step 260 | Acc 0.7042 | Time 344.4s
Step 280 | Acc 0.7465 | Time 371.0s
Step 300 | Acc 0.6911 | Time 397.4s
Step 320 | Acc 0.7400 | Time 424.0s
Step 340 | Acc 0.6716 | Time 450.4s
Step 360 | Acc 0.7148 | Time 476.9s
Step 380 | Acc 0.7180 | Time 503.4s
Step 400 | Acc 0.7139 | Time 529.8s
Step 420 | Acc 0.7457 | Time 556.3s
Step 440 | Acc 0.6764 | Time 582.8s
Step 460 | Acc 0.6675 | Time 609.5s
Step 480 | Acc 0.7441 | Time 636.0s
Step 500 | Acc 0.7074 | Time 662.4s
