Step 20 | Acc 0.7844 | Time 38.2s
Step 40 | Acc 0.8486 | Time 79.6s
Step 60 | Acc 0.7890 | Time 144.3s
Step 80 | Acc 0.8761 | Time 182.0s
Step 100 | Acc 0.9220 | Time 246.9s
Step 120 | Acc 0.8853 | Time 312.1s
Step 140 | Acc 0.8853 | Time 350.2s
Step 160 | Acc 0.8807 | Time 387.5s
Step 180 | Acc 0.7706 | Time 425.4s
Step 200 | Acc 0.8624 | Time 463.5s
Step 220 | Acc 0.8945 | Time 501.3s
Step 240 | Acc 0.8670 | Time 538.9s
Step 260 | Acc 0.8899 | Time 576.9s
Step 280 | Acc 0.8349 | Time 614.9s
Step 300 | Acc 0.8991 | Time 652.9s
