Layer,LayerShape,global_elems,elem_size_bytes,global_bytes,ag_tensor_elems,ag_tensor_bytes,ag_total_packets,ag_dropped_packets,ag_received_packets,rs_tensor_elems,rs_tensor_bytes,rs_total_packets,rs_dropped_packets,rs_received_packets
0,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
1,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
2,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
3,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
4,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
5,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
6,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
7,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,1,1426922
8,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
9,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
10,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
11,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
12,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
13,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
14,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
15,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
16,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
17,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
18,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
19,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
20,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
21,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
22,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
23,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
24,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
25,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
26,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
27,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
28,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
29,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
30,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
31,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
32,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
33,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,1,1426922
34,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
35,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
36,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
37,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
38,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
39,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
40,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
41,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,1,1426922
42,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
43,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
44,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
45,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
46,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
47,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
48,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
49,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
50,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
51,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
52,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
53,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
54,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
55,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
56,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
57,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
58,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
59,"global_elems=1034518528, dtype=torch.float16",1034518528,2,2069037056,64657408,129314816,89183,0,89183,1034518528,2069037056,1426923,0,1426923
