global_step,layer_id,comparison_type,rank1,rank2,server1,server2,cosine_similarity,rel_magnitude_diff,correlation,num_comparisons,num_nodes,error
0,8,intra_node,0,1,0,0,-0.4047459363937378,0.6798353573404283,-0.4047718346118927,,,
0,8,intra_node,0,2,0,0,0.48675084114074707,0.6057439151834176,0.486743688583374,,,
0,8,intra_node,0,3,0,0,-0.4594123363494873,0.3880993800994781,-0.4594195783138275,,,
0,8,intra_node,1,2,0,0,-0.6317919492721558,0.18792720013815348,-0.631841778755188,,,
0,8,intra_node,1,3,0,0,0.7177335023880005,0.47677019397100534,0.7179267406463623,,,
0,8,intra_node,2,3,0,0,-0.7773768305778503,0.35568608366391674,-0.7773929238319397,,,
0,8,intra_node,4,5,1,1,0.5529640913009644,0.10791118879114477,0.552793025970459,,,
0,8,intra_node,4,6,1,1,0.6331606507301331,0.027399680600160257,0.6331799030303955,,,
0,8,intra_node,4,7,1,1,-0.48199522495269775,0.757014862940798,-0.4821443259716034,,,
0,8,intra_node,5,6,1,1,0.7653042078018188,0.08277964399668875,0.7652959823608398,,,
0,8,intra_node,5,7,1,1,-0.6387220025062561,0.7832356779394357,-0.6387979388237,,,
0,8,intra_node,6,7,1,1,-0.6455867290496826,0.7636725780868063,-0.6456038355827332,,,
0,8,intra_node,8,9,2,2,0.5444667935371399,0.438143032229711,0.5444879531860352,,,
0,8,intra_node,8,10,2,2,0.6789774894714355,0.3033045862723279,0.6790096759796143,,,
0,8,intra_node,8,11,2,2,0.6964597105979919,0.2942215767395722,0.6964280605316162,,,
0,8,intra_node,9,10,2,2,0.5046586990356445,0.1935400223692149,0.5050328969955444,,,
0,8,intra_node,9,11,2,2,0.5745598673820496,0.20391875232636955,0.5746766924858093,,,
0,8,intra_node,10,11,2,2,0.7321755886077881,0.012869491661130238,0.732198178768158,,,
0,8,intra_node,12,13,3,3,-0.37110090255737305,0.32453757634105346,-0.3709261417388916,,,
0,8,intra_node,12,14,3,3,0.41908904910087585,0.31855558902314507,0.4189774692058563,,,
0,8,intra_node,12,15,3,3,-0.5518805980682373,0.7155898414823628,-0.5517163276672363,,,
0,8,intra_node,13,14,3,3,-0.4648457467556,0.5397099065727303,-0.46473973989486694,,,
0,8,intra_node,13,15,3,3,0.4902597665786743,0.5789400734137046,0.4900486171245575,,,
0,8,intra_node,14,15,3,3,-0.43774735927581787,0.8061902870531148,-0.4376102089881897,,,
0,8,inter_node,0,4,0,1,0.5105962157249451,0.14520935570700377,0.5106940269470215,,,
0,8,inter_node,0,8,0,2,-0.5683192610740662,0.7640753604828305,-0.5683228373527527,,,
0,8,inter_node,0,12,0,3,-0.4588364064693451,0.6223892353936373,-0.458847314119339,,,
0,8,inter_node,4,8,1,2,-0.654505729675293,0.7983338253825258,-0.6544751524925232,,,
0,8,inter_node,4,12,1,3,-0.512736976146698,0.6772218512301563,-0.5125541090965271,,,
0,8,inter_node,8,12,2,3,0.47265487909317017,0.37521738882866007,0.4725620746612549,,,
0,8,inter_node,1,5,0,1,-0.6283482313156128,0.7558587175727135,-0.6282228231430054,,,
0,8,inter_node,1,9,0,2,0.42563408613204956,0.23752459395461423,0.42521482706069946,,,
0,8,inter_node,1,13,0,3,-0.43510010838508606,0.42729602603841954,-0.4348975718021393,,,
0,8,inter_node,5,9,1,2,-0.5246862173080444,0.6798043838639509,-0.5245153307914734,,,
0,8,inter_node,5,13,1,3,0.3141717314720154,0.5737042284891416,0.31397581100463867,,,
0,8,inter_node,9,13,2,3,-0.5968855619430542,0.24888859441127903,-0.5967710018157959,,,
0,8,inter_node,2,6,0,1,0.6616064310073853,0.6722274553129415,0.6615978479385376,,,
0,8,inter_node,2,10,0,2,-0.6972057819366455,0.1410815262778835,-0.6972088813781738,,,
0,8,inter_node,2,14,0,3,-0.7746486663818359,0.34732587529900877,-0.7746574878692627,,,
0,8,inter_node,6,10,1,2,-0.5665766596794128,0.7184701061893775,-0.5665879845619202,,,
0,8,inter_node,6,14,1,3,-0.666050910949707,0.7860713412953576,-0.6660206317901611,,,
0,8,inter_node,10,14,2,3,0.7149737477302551,0.24012098392454756,0.7150137424468994,,,
0,8,inter_node,3,7,0,1,0.6681069135665894,0.5354429490246692,0.6681090593338013,,,
0,8,inter_node,3,11,0,2,0.5574708580970764,0.45370901998798385,0.5575095415115356,,,
0,8,inter_node,3,15,0,3,-0.47976845502853394,0.539126612334887,-0.4799778163433075,,,
0,8,inter_node,7,11,1,2,0.6343373656272888,0.1496161057517141,0.6343585252761841,,,
0,8,inter_node,7,15,1,3,-0.4281233251094818,0.7858980181532847,-0.42825573682785034,,,
0,8,inter_node,11,15,2,3,-0.5211681723594666,0.7482290253909676,-0.5211244821548462,,,
0,8,cluster_edge,0,15,0,3,0.4386153221130371,0.24681660276788372,0.438689261674881,,,
0,8,cluster_edge,1,14,0,3,0.6448460221290588,0.19628618910517986,0.6447807550430298,,,
0,8,cluster_edge,2,13,0,3,0.48774993419647217,0.2947627675018651,0.4877457618713379,,,
0,8,cluster_edge,3,12,0,3,0.4486955404281616,0.382888736625644,0.44877755641937256,,,
0,8,global_diversity,-1,-1,-1,-1,-0.020479321479797363,0.45028814673423767,-0.020469315350055695,120,4,
1,8,intra_node,0,1,0,0,-0.7447126507759094,0.4504248396821422,-0.7446913719177246,,,
1,8,intra_node,0,2,0,0,0.7146586775779724,0.07129505381757519,0.7145844101905823,,,
1,8,intra_node,0,3,0,0,-0.5886284708976746,0.7602472432029223,-0.5885147452354431,,,
1,8,intra_node,1,2,0,0,-0.5862999558448792,0.48960683031380636,-0.5862656235694885,,,
1,8,intra_node,1,3,0,0,0.5538314580917358,0.5637489207874462,0.5537849068641663,,,
1,8,intra_node,2,3,0,0,-0.6213926076889038,0.777340428901682,-0.6212295889854431,,,
1,8,intra_node,4,5,1,1,0.528805136680603,0.3202665943791328,0.5286827087402344,,,
1,8,intra_node,4,6,1,1,0.2906055152416229,0.21403096107659172,0.29076170921325684,,,
1,8,intra_node,4,7,1,1,-0.5629748106002808,0.5494373516090464,-0.5629197359085083,,,
1,8,intra_node,5,6,1,1,0.7140466570854187,0.13516516305535234,0.7141589522361755,,,
1,8,intra_node,5,7,1,1,-0.49811825156211853,0.3371479985165501,-0.49805206060409546,,,
1,8,intra_node,6,7,1,1,-0.3546610474586487,0.42674249737862724,-0.35471421480178833,,,
1,8,intra_node,8,9,2,2,-0.6262722611427307,0.6371317426812312,-0.6262359023094177,,,
1,8,intra_node,8,10,2,2,0.5712308883666992,0.17550257344315026,0.5712471008300781,,,
1,8,intra_node,8,11,2,2,-0.7226382493972778,0.0925717723560453,-0.7226872444152832,,,
1,8,intra_node,9,10,2,2,-0.7203373312950134,0.5598915828832502,-0.7203386425971985,,,
1,8,intra_node,9,11,2,2,0.6898989081382751,0.6001135447803742,0.689906120300293,,,
1,8,intra_node,10,11,2,2,-0.7740537524223328,0.09139103078424876,-0.7740523815155029,,,
1,8,intra_node,12,13,3,3,0.5012063980102539,0.6658096585007824,0.5009223222732544,,,
1,8,intra_node,12,14,3,3,-0.6399333477020264,0.8913556825276846,-0.6399147510528564,,,
1,8,intra_node,12,15,3,3,-0.6277052164077759,0.8602236008707671,-0.6278066039085388,,,
1,8,intra_node,13,14,3,3,-0.33090370893478394,0.6749028802420678,-0.3308369815349579,,,
1,8,intra_node,13,15,3,3,-0.2710554301738739,0.58174614352354,-0.2712150812149048,,,
1,8,intra_node,14,15,3,3,0.7535713911056519,0.22272774124145056,0.7535900473594666,,,
1,8,inter_node,0,4,0,1,0.5923015475273132,0.05859874517858156,0.5921828746795654,,,
1,8,inter_node,0,8,0,2,0.6889786124229431,0.4131742608858031,0.6889092922210693,,,
1,8,inter_node,0,12,0,3,-0.628615140914917,0.9077362452927364,-0.6285154223442078,,,
1,8,inter_node,4,8,1,2,0.4849441945552826,0.44756151283638873,0.48477792739868164,,,
1,8,inter_node,4,12,1,3,-0.5405599474906921,0.9131427855440466,-0.5403547883033752,,,
1,8,inter_node,8,12,2,3,-0.5261371731758118,0.8427748672944475,-0.5260019898414612,,,
1,8,inter_node,1,5,0,1,-0.7264915704727173,0.23886226384688555,-0.7264657616615295,,,
