global_step,layer_id,comparison_type,rank1,rank2,server1,server2,cosine_similarity,rel_magnitude_diff,correlation,num_comparisons,num_nodes,error
0,15,intra_node,0,1,0,0,0.5131992101669312,0.14507185389971056,0.5132728815078735,,,
0,15,intra_node,0,2,0,0,0.4005422592163086,0.14297403462548344,0.40050023794174194,,,
0,15,intra_node,0,3,0,0,0.403186559677124,0.3253185570769763,0.40324270725250244,,,
0,15,intra_node,1,2,0,0,0.6308952569961548,0.2673043802625537,0.6309041380882263,,,
0,15,intra_node,1,3,0,0,0.6357408761978149,0.42319584479355116,0.6357408761978149,,,
0,15,intra_node,2,3,0,0,0.8523717522621155,0.21276429165341468,0.8523852229118347,,,
0,15,intra_node,4,5,1,1,-0.7828593254089355,0.719865367093304,-0.7830293774604797,,,
0,15,intra_node,4,6,1,1,-0.7745958566665649,0.9413673569810566,-0.7746843099594116,,,
0,15,intra_node,4,7,1,1,0.7007346749305725,0.19172478188888772,0.7005407214164734,,,
0,15,intra_node,5,6,1,1,0.7274406552314758,0.7906983423985563,0.7274426817893982,,,
0,15,intra_node,5,7,1,1,-0.6079432964324951,0.7735741184868639,-0.6081321835517883,,,
0,15,intra_node,6,7,1,1,-0.5694590210914612,0.9526086876754325,-0.5695298910140991,,,
0,15,intra_node,8,9,2,2,-0.6715405583381653,0.22660541372448736,-0.6718031764030457,,,
0,15,intra_node,8,10,2,2,0.8684085607528687,0.07073874121202874,0.8684138059616089,,,
0,15,intra_node,8,11,2,2,-0.797818660736084,0.934562310569788,-0.7979143857955933,,,
0,15,intra_node,9,10,2,2,-0.6699215173721313,0.2813143732178149,-0.6700547337532043,,,
0,15,intra_node,9,11,2,2,0.6599925756454468,0.9153889998825249,0.6600250601768494,,,
0,15,intra_node,10,11,2,2,-0.8581239581108093,0.9391912903479048,-0.8581525683403015,,,
0,15,intra_node,12,13,3,3,0.49726489186286926,0.7552045186419298,0.49732816219329834,,,
0,15,intra_node,12,14,3,3,0.9248250722885132,0.5358084594076062,0.9249719381332397,,,
0,15,intra_node,12,15,3,3,0.7216968536376953,0.1241685165557576,0.7219704389572144,,,
0,15,intra_node,13,14,3,3,0.5713675618171692,0.4726412268399676,0.5713513493537903,,,
