global_step,layer_id,comparison_type,rank1,rank2,server1,server2,cosine_similarity,rel_magnitude_diff,correlation,num_comparisons,num_nodes,error
0,14,intra_node,0,1,0,0,0.4847552180290222,0.5752136786756878,0.4848416745662689,,,
0,14,intra_node,0,2,0,0,0.5163705348968506,0.5211591443061739,0.5162144899368286,,,
0,14,intra_node,0,3,0,0,0.5767331719398499,0.3366402540905819,0.5766975283622742,,,
0,14,intra_node,1,2,0,0,0.586575448513031,0.1128862203940189,0.5867214202880859,,,
0,14,intra_node,1,3,0,0,0.6679908633232117,0.3596441087302321,0.6680232882499695,,,
0,14,intra_node,2,3,0,0,0.7514139413833618,0.27815810554291326,0.7514288425445557,,,
0,14,intra_node,4,5,1,1,-0.7531970739364624,0.8278506402959355,-0.7531468868255615,,,
0,14,intra_node,4,6,1,1,-0.7520903944969177,0.6769592077051958,-0.7522926926612854,,,
0,14,intra_node,4,7,1,1,0.7028884887695312,0.2668858038305281,0.7027148604393005,,,
0,14,intra_node,5,6,1,1,0.7097919583320618,0.4670971474495315,0.7098711133003235,,,
0,14,intra_node,5,7,1,1,-0.6576232314109802,0.7651807036290574,-0.6575565934181213,,,
0,14,intra_node,6,7,1,1,-0.6190861463546753,0.559358154592156,-0.6193544268608093,,,
0,14,intra_node,8,9,2,2,-0.6132835149765015,0.5361599720033915,-0.6128860712051392,,,
0,14,intra_node,8,10,2,2,0.7752121686935425,0.5995436154733633,0.7756514549255371,,,
0,14,intra_node,8,11,2,2,-0.7489251494407654,0.39005596580568047,-0.7489880919456482,,,
0,14,intra_node,9,10,2,2,-0.5945425033569336,0.8142522993897442,-0.5947617292404175,,,
0,14,intra_node,9,11,2,2,0.6779062747955322,0.23953674108920672,0.6778666377067566,,,
0,14,intra_node,10,11,2,2,-0.7873659133911133,0.7557440173029515,-0.7874182462692261,,,
0,14,intra_node,12,13,3,3,0.5111611485481262,0.20439931897639338,0.511358380317688,,,
0,14,intra_node,12,14,3,3,0.8416710495948792,0.03451166343997051,0.8417015075683594,,,
0,14,intra_node,12,15,3,3,0.6730614304542542,0.15652900212757917,0.6731268763542175,,,
0,14,intra_node,13,14,3,3,0.5079190731048584,0.23185682191249143,0.5083869695663452,,,
0,14,intra_node,13,15,3,3,0.5470896363258362,0.32893389966904096,0.5468965172767639,,,
0,14,intra_node,14,15,3,3,0.7008647322654724,0.12637888420521814,0.7010877132415771,,,
0,14,inter_node,0,4,0,1,0.6169564723968506,0.09670832677040557,0.6168277263641357,,,
0,14,inter_node,0,8,0,2,0.5539782047271729,0.6465863091580204,0.5538206100463867,,,
0,14,inter_node,0,12,0,3,-0.604957103729248,0.7817637855286095,-0.6050042510032654,,,
