Layer,LayerShape,global_elems,elem_size_bytes,global_bytes,ag_tensor_elems,ag_tensor_bytes,ag_total_packets,ag_dropped_packets,ag_received_packets,rs_tensor_elems,rs_tensor_bytes,rs_total_packets,rs_dropped_packets,rs_received_packets
0,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
1,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
2,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
3,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
4,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
5,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
6,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
7,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
8,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
9,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
10,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
11,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
12,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
13,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
14,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
15,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
16,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
17,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
18,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
19,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
20,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
21,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
22,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
23,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
24,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
25,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
26,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
27,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
28,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
29,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
30,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
31,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
32,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
33,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
34,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
35,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
36,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
37,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
38,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
39,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
40,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
41,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
42,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
43,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
44,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
45,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
46,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
47,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
48,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,0,89183,1034516480,2069032960,1426920,0,1426920
49,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,4013,85170,1034516480,2069032960,1426920,64212,1362708
50,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,4013,85170,1034516480,2069032960,1426920,64211,1362709
51,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,4013,85170,1034516480,2069032960,1426920,64211,1362709
52,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,4013,85170,1034516480,2069032960,1426920,64211,1362709
53,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,4014,85169,1034516480,2069032960,1426920,64212,1362708
54,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,4013,85170,1034516480,2069032960,1426920,64212,1362708
55,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,4013,85170,1034516480,2069032960,1426920,64211,1362709
56,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,64657280,129314560,89183,4013,85170,1034516480,2069032960,1426920,64211,1362709
