Layer,LayerShape,global_elems,elem_size_bytes,global_bytes,ag_tensor_elems,ag_tensor_bytes,ag_total_packets,ag_dropped_packets,ag_received_packets,rs_tensor_elems,rs_tensor_bytes,rs_total_packets,rs_dropped_packets,rs_received_packets
0,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1786,176579,1034516480,2069032960,1426920,14418,1412502
1,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1813,176552,1034516480,2069032960,1426920,14370,1412550
2,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1788,176577,1034516480,2069032960,1426920,14204,1412716
3,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1783,176582,1034516480,2069032960,1426920,14243,1412677
4,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1874,176491,1034516480,2069032960,1426920,14063,1412857
5,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1778,176587,1034516480,2069032960,1426920,14112,1412808
6,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1728,176637,1034516480,2069032960,1426920,14192,1412728
7,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1725,176640,1034516480,2069032960,1426920,14085,1412835
8,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1781,176584,1034516480,2069032960,1426920,14249,1412671
9,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1778,176587,1034516480,2069032960,1426920,14274,1412646
10,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1769,176596,1034516480,2069032960,1426920,14422,1412498
11,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1806,176559,1034516480,2069032960,1426920,14268,1412652
12,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1776,176589,1034516480,2069032960,1426920,14438,1412482
13,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1857,176508,1034516480,2069032960,1426920,14221,1412699
14,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1704,176661,1034516480,2069032960,1426920,14141,1412779
15,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1777,176588,1034516480,2069032960,1426920,14109,1412811
16,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1834,176531,1034516480,2069032960,1426920,14181,1412739
17,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1787,176578,1034516480,2069032960,1426920,14228,1412692
18,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1744,176621,1034516480,2069032960,1426920,14255,1412665
19,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1762,176603,1034516480,2069032960,1426920,14167,1412753
20,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1760,176605,1034516480,2069032960,1426920,14423,1412497
79,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1773,176592,1034516480,2069032960,1426920,14667,1412253
80,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1827,176538,1034516480,2069032960,1426920,14368,1412552
81,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1812,176553,1034516480,2069032960,1426920,14308,1412612
82,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1794,176571,1034516480,2069032960,1426920,14129,1412791
83,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1809,176556,1034516480,2069032960,1426920,14075,1412845
84,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1773,176592,1034516480,2069032960,1426920,14377,1412543
85,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1773,176592,1034516480,2069032960,1426920,14239,1412681
86,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1836,176529,1034516480,2069032960,1426920,14252,1412668
87,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1813,176552,1034516480,2069032960,1426920,14549,1412371
88,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1860,176505,1034516480,2069032960,1426920,14395,1412525
89,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1761,176604,1034516480,2069032960,1426920,14163,1412757
90,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1741,176624,1034516480,2069032960,1426920,14398,1412522
91,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1715,176650,1034516480,2069032960,1426920,14247,1412673
92,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1831,176534,1034516480,2069032960,1426920,14587,1412333
93,"global_elems=1034516480, dtype=torch.float16",1034516480,2,2069032960,129314560,258629120,178365,1736,176629,1034516480,2069032960,1426920,14239,1412681
