global_step,layer_id,comparison_type,rank1,rank2,server1,server2,cosine_similarity,rel_magnitude_diff,correlation,num_comparisons,num_nodes,error
0,9,intra_node,0,1,0,0,0.43411943316459656,0.7534666059860119,0.43452900648117065,,,
0,9,intra_node,0,2,0,0,0.44319793581962585,0.6632226528933356,0.44331833720207214,,,
0,9,intra_node,0,3,0,0,0.4014459252357483,0.23307393132014134,0.4012933373451233,,,
0,9,intra_node,1,2,0,0,0.3805297017097473,0.26796325188728953,0.38052183389663696,,,
0,9,intra_node,1,3,0,0,0.2907404899597168,0.8109271133305495,0.29113146662712097,,,
0,9,intra_node,2,3,0,0,0.7526002526283264,0.7417166731630537,0.7527762055397034,,,
0,9,intra_node,4,5,1,1,-0.6449650526046753,0.8759585025488671,-0.6448298692703247,,,
0,9,intra_node,4,6,1,1,-0.5283339619636536,0.878701069559373,-0.52834552526474,,,
0,9,intra_node,4,7,1,1,0.5042897462844849,0.6987973359872935,0.5041820406913757,,,
0,9,intra_node,5,6,1,1,0.5710218548774719,0.022110076602278227,0.5710275173187256,,,
0,9,intra_node,5,7,1,1,-0.43700945377349854,0.9626383705195934,-0.43689167499542236,,,
0,9,intra_node,6,7,1,1,-0.28293734788894653,0.9634644390093912,-0.2828969657421112,,,
0,9,intra_node,8,9,2,2,-0.49911731481552124,0.7250460690696695,-0.499144971370697,,,
0,9,intra_node,8,10,2,2,0.5566657781600952,0.7255507677057204,0.5566715598106384,,,
0,9,intra_node,8,11,2,2,-0.5196829438209534,0.037263422629529294,-0.519688069820404,,,
0,9,intra_node,9,10,2,2,-0.5241825580596924,0.0018355752701664715,-0.5242694020271301,,,
0,9,intra_node,9,11,2,2,0.5450173020362854,0.7144037762839405,0.5450154542922974,,,
0,9,intra_node,10,11,2,2,-0.7762773036956787,0.7149280096494466,-0.7763146758079529,,,
0,9,intra_node,12,13,3,3,0.3900982737541199,0.16444165822792745,0.39010074734687805,,,
0,9,intra_node,12,14,3,3,0.8471629023551941,0.2893196658044402,0.8471896648406982,,,
0,9,intra_node,12,15,3,3,0.6217038035392761,0.2439263220340366,0.6217114329338074,,,
0,9,intra_node,13,14,3,3,0.380241721868515,0.4061851184295357,0.380270779132843,,,
0,9,intra_node,13,15,3,3,0.4138370752334595,0.09512760489894236,0.41383734345436096,,,
