global_step,layer_id,comparison_type,rank1,rank2,server1,server2,cosine_similarity,rel_magnitude_diff,correlation,num_comparisons,num_nodes,error
0,6,intra_node,0,1,0,0,nan,nan,0.0,,,
0,6,intra_node,0,2,0,0,nan,nan,0.0,,,
0,6,intra_node,0,3,0,0,nan,nan,0.0,,,
0,6,intra_node,1,2,0,0,nan,nan,0.0,,,
0,6,intra_node,1,3,0,0,nan,nan,0.0,,,
0,6,intra_node,2,3,0,0,nan,nan,0.0,,,
0,6,intra_node,4,5,1,1,nan,nan,0.0,,,
0,6,intra_node,4,6,1,1,nan,nan,0.0,,,
0,6,intra_node,4,7,1,1,nan,nan,0.0,,,
0,6,intra_node,5,6,1,1,nan,nan,0.0,,,
0,6,intra_node,5,7,1,1,nan,nan,0.0,,,
0,6,intra_node,6,7,1,1,nan,nan,0.0,,,
0,6,intra_node,8,9,2,2,nan,nan,0.0,,,
0,6,intra_node,8,10,2,2,nan,nan,0.0,,,
0,6,intra_node,8,11,2,2,nan,nan,0.0,,,
0,6,intra_node,9,10,2,2,nan,nan,0.0,,,
0,6,intra_node,9,11,2,2,nan,nan,0.0,,,
0,6,intra_node,10,11,2,2,nan,nan,0.0,,,
0,6,intra_node,12,13,3,3,nan,nan,0.0,,,
0,6,intra_node,12,14,3,3,nan,nan,0.0,,,
0,6,intra_node,12,15,3,3,nan,nan,0.0,,,
0,6,intra_node,13,14,3,3,nan,nan,0.0,,,
0,6,intra_node,13,15,3,3,nan,nan,0.0,,,
0,6,intra_node,14,15,3,3,nan,nan,0.0,,,
0,6,inter_node,0,4,0,1,nan,nan,0.0,,,
0,6,inter_node,0,8,0,2,nan,nan,0.0,,,
0,6,inter_node,0,12,0,3,nan,nan,0.0,,,
0,6,inter_node,4,8,1,2,nan,nan,0.0,,,
0,6,inter_node,4,12,1,3,nan,nan,0.0,,,
0,6,inter_node,8,12,2,3,nan,nan,0.0,,,
0,6,inter_node,1,5,0,1,nan,nan,0.0,,,
0,6,inter_node,1,9,0,2,nan,nan,0.0,,,
0,6,inter_node,1,13,0,3,nan,nan,0.0,,,
0,6,inter_node,5,9,1,2,nan,nan,0.0,,,
0,6,inter_node,5,13,1,3,nan,nan,0.0,,,
0,6,inter_node,9,13,2,3,nan,nan,0.0,,,
0,6,inter_node,2,6,0,1,nan,nan,0.0,,,
0,6,inter_node,2,10,0,2,nan,nan,0.0,,,
0,6,inter_node,2,14,0,3,nan,nan,0.0,,,
0,6,inter_node,6,10,1,2,nan,nan,0.0,,,
0,6,inter_node,6,14,1,3,nan,nan,0.0,,,
0,6,inter_node,10,14,2,3,nan,nan,0.0,,,
0,6,inter_node,3,7,0,1,nan,nan,0.0,,,
0,6,inter_node,3,11,0,2,nan,nan,0.0,,,
0,6,inter_node,3,15,0,3,nan,nan,0.0,,,
0,6,inter_node,7,11,1,2,nan,nan,0.0,,,
0,6,inter_node,7,15,1,3,nan,nan,0.0,,,
0,6,inter_node,11,15,2,3,nan,nan,0.0,,,
0,6,cluster_edge,0,15,0,3,nan,nan,0.0,,,
0,6,cluster_edge,1,14,0,3,nan,nan,0.0,,,
0,6,cluster_edge,2,13,0,3,nan,nan,0.0,,,
0,6,cluster_edge,3,12,0,3,nan,nan,0.0,,,
0,6,global_diversity,-1,-1,-1,-1,nan,nan,0.0,120,4,
1,6,intra_node,0,1,0,0,nan,nan,0.0,,,
1,6,intra_node,0,2,0,0,nan,nan,0.0,,,
1,6,intra_node,0,3,0,0,nan,nan,0.0,,,
1,6,intra_node,1,2,0,0,nan,nan,0.0,,,
1,6,intra_node,1,3,0,0,nan,nan,0.0,,,
1,6,intra_node,2,3,0,0,nan,nan,0.0,,,
1,6,intra_node,4,5,1,1,nan,nan,0.0,,,
1,6,intra_node,4,6,1,1,nan,nan,0.0,,,
1,6,intra_node,4,7,1,1,nan,nan,0.0,,,
1,6,intra_node,5,6,1,1,nan,nan,0.0,,,
1,6,intra_node,5,7,1,1,nan,nan,0.0,,,
1,6,intra_node,6,7,1,1,nan,nan,0.0,,,
1,6,intra_node,8,9,2,2,nan,nan,0.0,,,
1,6,intra_node,8,10,2,2,nan,nan,0.0,,,
1,6,intra_node,8,11,2,2,nan,nan,0.0,,,
1,6,intra_node,9,10,2,2,nan,nan,0.0,,,
1,6,intra_node,9,11,2,2,nan,nan,0.0,,,
1,6,intra_node,10,11,2,2,nan,nan,0.0,,,
1,6,intra_node,12,13,3,3,nan,nan,0.0,,,
1,6,intra_node,12,14,3,3,nan,nan,0.0,,,
1,6,intra_node,12,15,3,3,nan,nan,0.0,,,
1,6,intra_node,13,14,3,3,nan,nan,0.0,,,
1,6,intra_node,13,15,3,3,nan,nan,0.0,,,
1,6,intra_node,14,15,3,3,nan,nan,0.0,,,
1,6,inter_node,0,4,0,1,nan,nan,0.0,,,
1,6,inter_node,0,8,0,2,nan,nan,0.0,,,
1,6,inter_node,0,12,0,3,nan,nan,0.0,,,
1,6,inter_node,4,8,1,2,nan,nan,0.0,,,
1,6,inter_node,4,12,1,3,nan,nan,0.0,,,
1,6,inter_node,8,12,2,3,nan,nan,0.0,,,
1,6,inter_node,1,5,0,1,nan,nan,0.0,,,
1,6,inter_node,1,9,0,2,nan,nan,0.0,,,
1,6,inter_node,1,13,0,3,nan,nan,0.0,,,
1,6,inter_node,5,9,1,2,nan,nan,0.0,,,
1,6,inter_node,5,13,1,3,nan,nan,0.0,,,
1,6,inter_node,9,13,2,3,nan,nan,0.0,,,
1,6,inter_node,2,6,0,1,nan,nan,0.0,,,
1,6,inter_node,2,10,0,2,nan,nan,0.0,,,
1,6,inter_node,2,14,0,3,nan,nan,0.0,,,
1,6,inter_node,6,10,1,2,nan,nan,0.0,,,
1,6,inter_node,6,14,1,3,nan,nan,0.0,,,
1,6,inter_node,10,14,2,3,nan,nan,0.0,,,
1,6,inter_node,3,7,0,1,nan,nan,0.0,,,
1,6,inter_node,3,11,0,2,nan,nan,0.0,,,
1,6,inter_node,3,15,0,3,nan,nan,0.0,,,
1,6,inter_node,7,11,1,2,nan,nan,0.0,,,
1,6,inter_node,7,15,1,3,nan,nan,0.0,,,
1,6,inter_node,11,15,2,3,nan,nan,0.0,,,
1,6,cluster_edge,0,15,0,3,nan,nan,0.0,,,
1,6,cluster_edge,1,14,0,3,nan,nan,0.0,,,
1,6,cluster_edge,2,13,0,3,nan,nan,0.0,,,
1,6,cluster_edge,3,12,0,3,nan,nan,0.0,,,
1,6,global_diversity,-1,-1,-1,-1,nan,nan,0.0,120,4,
2,6,intra_node,0,1,0,0,-0.6127629280090332,0.9828006377746297,-0.6127803325653076,,,
2,6,intra_node,0,2,0,0,0.33106207847595215,0.5507395833656975,0.33100947737693787,,,
2,6,intra_node,0,3,0,0,0.5074278116226196,0.07322764393809374,0.5074836611747742,,,
2,6,intra_node,1,2,0,0,-0.43667641282081604,0.9617162750410514,-0.4367128610610962,,,
2,6,intra_node,1,3,0,0,-0.652141273021698,0.9814416538075706,-0.6521484851837158,,,
2,6,intra_node,2,3,0,0,0.5406249761581421,0.5152418890186524,0.5407356023788452,,,
2,6,intra_node,4,5,1,1,0.2523980140686035,0.2960832839495596,0.25237759947776794,,,
2,6,intra_node,4,6,1,1,-0.14920009672641754,0.5647695507995106,-0.14926618337631226,,,
2,6,intra_node,4,7,1,1,-0.3313869833946228,0.9353626132318963,-0.3313886821269989,,,
