global_step,layer_id,comparison_type,rank1,rank2,server1,server2,cosine_similarity,rel_magnitude_diff,correlation,num_comparisons,num_nodes,error
0,13,intra_node,0,1,0,0,0.0,1.0,0.0,,,
0,13,intra_node,0,2,0,0,0.9016611576080322,0.03236164060954608,0.9015841484069824,,,
0,13,intra_node,0,3,0,0,0.0,1.0,0.0,,,
0,13,intra_node,1,2,0,0,0.0,1.0,0.0,,,
0,13,intra_node,1,3,0,0,0.0,0.0,0.0,,,
0,13,intra_node,2,3,0,0,0.0,1.0,0.0,,,
0,13,intra_node,4,5,1,1,0.0,1.0,0.0,,,
0,13,intra_node,4,6,1,1,0.0,0.0,0.0,,,
0,13,intra_node,4,7,1,1,0.0,1.0,0.0,,,
0,13,intra_node,5,6,1,1,0.0,1.0,0.0,,,
0,13,intra_node,5,7,1,1,0.21890467405319214,0.9639079085005937,0.21917030215263367,,,
0,13,intra_node,6,7,1,1,0.0,1.0,0.0,,,
0,13,intra_node,8,9,2,2,0.0,1.0,0.0,,,
0,13,intra_node,8,10,2,2,0.0,1.0,0.0,,,
0,13,intra_node,8,11,2,2,0.0,1.0,0.0,,,
0,13,intra_node,9,10,2,2,0.8233661651611328,0.17282177948338076,0.823206901550293,,,
0,13,intra_node,9,11,2,2,0.8996878862380981,0.5224562462178843,0.8996518850326538,,,
0,13,intra_node,10,11,2,2,0.8195005655288696,0.604986207527683,0.8193418383598328,,,
0,13,intra_node,12,13,3,3,0.0,1.0,0.0,,,
0,13,intra_node,12,14,3,3,0.3203975260257721,0.9490368519729243,0.32057738304138184,,,
0,13,intra_node,12,15,3,3,0.2797275185585022,0.9619734399353381,0.28012019395828247,,,
0,13,intra_node,13,14,3,3,0.0,1.0,0.0,,,
0,13,intra_node,13,15,3,3,0.0,1.0,0.0,,,
0,13,intra_node,14,15,3,3,0.9272992014884949,0.25384201061403955,0.9273719191551208,,,
0,13,inter_node,0,4,0,1,0.0,1.0,0.0,,,
0,13,inter_node,0,8,0,2,0.0,1.0,0.0,,,
0,13,inter_node,0,12,0,3,0.2119443714618683,0.9654420758853822,0.2121799737215042,,,
0,13,inter_node,4,8,1,2,0.0,0.0,0.0,,,
0,13,inter_node,4,12,1,3,0.0,1.0,0.0,,,
