Layer,LayerShape,global_elems,elem_size_bytes,global_bytes,ag_tensor_elems,ag_tensor_bytes,ag_total_packets,ag_dropped_packets,ag_received_packets,rs_tensor_elems,rs_tensor_bytes,rs_total_packets,rs_dropped_packets,rs_received_packets
0,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
1,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
2,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
3,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
4,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
5,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
6,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
7,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,1,1517313
8,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
9,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
10,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
11,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
12,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
13,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
14,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
15,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
16,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
17,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
18,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
19,"global_elems=1100052480, dtype=torch.float16",1100052480,2,2200104960,275013120,550026240,379329,0,379329,1100052480,2200104960,1517314,0,1517314
