Layer,LayerShape,ag_total_packets,ag_dropped_packets,ag_received_packets,rs_total_packets,rs_dropped_packets,rs_received_packets
0,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
2,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
3,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
4,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
5,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
6,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
7,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
8,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
9,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
10,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
11,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
12,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
13,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
14,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
15,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
16,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
17,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
18,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
19,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
20,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
79,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
80,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
81,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
82,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
83,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
84,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
85,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
86,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
87,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
88,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
89,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
90,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
91,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
92,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
93,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
94,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
